"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_TO_x_CH_MUNICIPAL",3.4415,0.7
"2","IN_CH_STATE_RR_x_CH_MUNICIPAL",3.1993,0.65
"3","IN_CH_STATE_PE_x_CH_RURAL",2.8863,0.59
"4","IN_CH_STATE_RO_x_CH_MUNICIPAL",2.3512,0.48
"5","IN_CH_STATE_PA_x_CH_RURAL",2.2937,0.47
"6","IN_CH_STATE_AL_x_CH_MUNICIPAL",2.1067,0.43
"7","IN_CH_STATE_AC_x_CH_MUNICIPAL",1.9028,0.39
"8","IN_CH_STATE_PI_x_CH_RURAL",1.7855,0.36
"9","IN_CH_STATE_AP_x_CH_MUNICIPAL",1.7683,0.36
"10","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",1.7583,0.36
"11","IN_CH_STATE_PE_x_CH_MUNICIPAL",1.7424,0.35
"12","IN_CH_STATE_CE_x_CH_MUNICIPAL",1.7373,0.35
"13","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",1.6369,0.33
"14","IN_CH_STATE_RN_x_CH_URBAN",1.5818,0.32
"15","IN_CH_STATE_AL_x_CH_RURAL",1.5731,0.32
"16","IN_CH_STATE_SE_x_CH_MUNICIPAL",1.5406,0.31
"17","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",1.387,0.28
"18","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",1.363,0.28
"19","IN_CH_STATE_GO_x_CH_STATE",1.2978,0.26
"20","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.2534,0.26
"21","STR_TEACHERS_SECONDARY_FUNDEDU",1.2406,0.25
"22","IN_CH_STATE_MG_x_CH_PRIVATE",1.2038,0.25
"23","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",1.1789,0.24
"24","CH_STATE_BA",1.0276,0.21
"25","IN_CH_STATE_MG_x_CH_RURAL",1.0066,0.2
