"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_RURAL",2.6122,0.64
"2","IN_CH_STATE_PA_x_CH_RURAL",2.1872,0.54
"3","IN_CH_STATE_TO_x_CH_MUNICIPAL",2.1718,0.53
"4","IN_CH_STATE_MG_x_CH_PRIVATE",2.1346,0.53
"5","IN_CH_STATE_AL_x_CH_RURAL",1.8373,0.45
"6","IN_CH_STATE_PI_x_CH_RURAL",1.8108,0.45
"7","IN_CH_STATE_RR_x_CH_MUNICIPAL",1.6973,0.42
"8","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",1.6709,0.41
"9","IN_CH_STATE_CE_x_CH_MUNICIPAL",1.2835,0.32
"10","IN_CH_STATE_SC_x_CH_PRIVATE",1.1559,0.28
"11","IN_CH_STATE_AL_x_CH_MUNICIPAL",1.1275,0.28
"12","IN_CH_STATE_PE_x_CH_MUNICIPAL",1.0799,0.27
"13","IN_CH_STATE_SE_x_CH_MUNICIPAL",1.0545,0.26
"14","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.9775,0.24
"15","IN_CH_STATE_RO_x_CH_RURAL",0.9616,0.24
"16","IN_CH_STATE_RO_x_CH_MUNICIPAL",0.9506,0.23
"17","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",0.9483,0.23
"18","IN_CH_STATE_DF_x_CH_PRIVATE",0.946,0.23
"19","IN_CH_STATE_GO_x_CH_STATE",0.8654,0.21
"20","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",0.8416,0.21
"21","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.7976,0.2
"22","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.7707,0.19
"23","CH_STATE_BA",0.7663,0.19
"24","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.7624,0.19
"25","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.752,0.19
"26","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.7117,0.18
"27","IN_CH_STATE_MG_x_CH_RURAL",0.6836,0.17
"28","IN_CH_STATE_PR_x_CH_PRIVATE",0.6362,0.16
"29","IN_CH_STATE_RN_x_CH_URBAN",0.6311,0.16
"30","STR_TEACHERS_SECONDARY_FUNDEDU",0.6224,0.15
"31","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.6076,0.15
"32","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.5697,0.14
"33","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.5385,0.13
"34","IN_CH_STATE_MA_x_FC_INTERNET",0.5272,0.13
"35","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",0.4981,0.12
"36","IN_CH_STATE_CE_x_CH_URBAN",0.4316,0.11
"37","IN_CH_STATE_RS_x_CH_PRIVATE",0.4241,0.1
"38","IN_CH_STATE_BA_x_CH_STATE",0.4046,0.1
"39","IN_CH_STATE_AL_x_FC_LIBRARY",0.374,0.09
"40","IN_CH_STATE_AC_x_CH_RURAL",0.3719,0.09
"41","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.3524,0.09
"42","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.3293,0.08
"43","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.3282,0.08
"44","IN_CH_STATE_TO_x_CH_RURAL",0.3256,0.08
"45","IN_CH_STATE_AC_x_FC_NO_SPORTS_QUAD",0.3063,0.08
"46","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.3063,0.08
"47","IN_CH_STATE_MT_x_CH_RURAL",0.2954,0.07
"48","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.2944,0.07
"49","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.2783,0.07
"50","IN_CH_STATE_SP_x_FC_LIBRARY",0.2627,0.06
"51","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",0.2568,0.06
"52","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.2413,0.06
"53","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.2128,0.05
"54","IN_CH_STATE_GO_x_FC_LIBRARY",0.1948,0.05
"55","IN_CH_STATE_SE_x_CH_RURAL",0.194,0.05
"56","IN_CH_STATE_ES_x_CH_PRIVATE",0.1899,0.05
"57","IN_CH_STATE_MT_x_CH_STATE",0.1742,0.04
"58","IN_CH_STATE_SE_x_FC_ANTENNA_EQUIPMENT",0.1697,0.04
"59","IN_CH_STATE_AC_x_FC_INTERNET",0.1656,0.04
"60","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.1516,0.04
"61","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.141,0.03
"62","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.1345,0.03
"63","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.1218,0.03
"64","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.1203,0.03
"65","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1171,0.03
"66","CH_STATE_RO",0.1168,0.03
"67","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.1145,0.03
"68","IN_CH_STATE_MA_x_FC_WATER_PUBLIC",0.1116,0.03
"69","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.1023,0.03
"70","FC_WATER_PUBLIC",0.0988,0.02
"71","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.0886,0.02
"72","IN_CH_STATE_MS_x_CH_STATE",0.0732,0.02
"73","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",0.0731,0.02
"74","IN_CH_STATE_BA_x_CH_RURAL",0.0622,0.02
"75","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",0.0612,0.02
"76","IN_CH_STATE_DF_x_FC_SEWAGE_PUBLIC",0.0535,0.01
"77","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0486,0.01
"78","IN_CH_STATE_MT_x_FC_NO_SPORTS_QUAD",0.0481,0.01
"79","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.0459,0.01
"80","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.0447,0.01
"81","IN_CH_STATE_AL_x_FC_INTERNET",0.0412,0.01
"82","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0388,0.01
"83","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.0345,0.01
"84","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0345,0.01
"85","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.0311,0.01
"86","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.0288,0.01
"87","IN_CH_STATE_MS_x_CH_SCHOOL_LARGE_SIZE",0.0227,0.01
"88","IN_CH_STATE_RO_x_FC_TV_EQUIPMENT",0.0125,0
"89","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_I",0.0106,0
"90","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.0105,0
"91","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.009,0
"92","CLASS_SIZE",0.0054,0
"93","CH_STATE_MA",0.0044,0
"94","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_I",0.0027,0
"95","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0025,0
"96","FC_NO_SPORTS_QUAD",0.0014,0
"97","IN_CH_STATE_BA_x_FC_SEWAGE",0.0011,0
"98","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.001,0
"99","IN_CH_STATE_BA_x_FC_WATER",7e-04,0
"100","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",7e-04,0
"101","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",4e-04,0
"102","CH_MATRI_FUNDAMENTAL_EDU_I",0,0
"103","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0,0
"104","IN_CH_STATE_BA_x_FC_ELECTR",0,0
"105","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_T",0,0
"106","IN_CH_STATE_PB_x_FC_SEWAGE",0,0
"107","IN_CH_STATE_RJ_x_CH_FUNDAMENTAL_EDU_I",0,0
"108","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0,0
"109","IN_CH_STATE_RO_x_FC_COMPUTER",0,0
"110","IN_CH_STATE_RO_x_FC_WATER",0,0
"111","IN_CH_STATE_RO_x_FC_ELECTR_PUBLIC",0,0
"112","IN_CH_STATE_RO_x_FC_ELECTR",0,0
"113","IN_CH_STATE_RO_x_FC_SEWAGE",0,0
"114","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_T",0,0
"115","IN_CH_FEDERAL_x_FC_TV_EQUIPMENT",0,0
"116","IN_CH_STATE_x_FC_ELECTR",0,0
"117","IN_CH_STATE_RJ_x_FC_WATER",-1e-04,0
"118","IN_CH_STATE_x_FC_SEWAGE",-1e-04,0
"119","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR_PUBLIC",-2e-04,0
"120","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",-4e-04,0
"121","IN_CH_FEDERAL_x_FC_LIBRARY",-4e-04,0
"122","IN_CH_STATE_ES_x_CH_RURAL",-7e-04,0
"123","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-0.0022,0
"124","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",-0.0024,0
"125","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE",-0.0026,0
"126","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",-0.0036,0
"127","IN_CH_STATE_RJ_x_FC_WATER_PUBLIC",-0.0038,0
"128","FC_HAS_SPORTS_QUAD",-0.0044,0
"129","IN_CH_FEDERAL_x_FC_HAS_SPORTS_QUAD",-0.0047,0
"130","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0051,0
"131","CH_STATE_PB",-0.0052,0
"132","CLASS_STUDENT_TEACHER_RATIO",-0.0061,0
"133","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.0074,0
"134","FC_ROOMS_USED",-0.0077,0
"135","IN_CH_STATE_x_FC_WATER",-0.0086,0
"136","IN_CH_STATE_RJ_x_CH_URBAN",-0.0117,0
"137","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0118,0
"138","CH_CLASSES_FUNDAMENTAL_EDU",-0.0147,0
"139","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",-0.0148,0
"140","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR",-0.016,0
"141","FC_ELECTR_PUBLIC",-0.0172,0
"142","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-0.0197,0
"143","IN_CH_STATE_GO_x_CH_RURAL",-0.0199,0
"144","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",-0.026,-0.01
"145","IN_CH_PRIVATE_x_FC_TV_EQUIPMENT",-0.0283,-0.01
"146","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",-0.0304,-0.01
"147","IN_CH_STATE_TO_x_CH_STATE",-0.0365,-0.01
"148","CH_STATE_SP",-0.0412,-0.01
"149","IN_CH_STATE_PI_x_CH_PRIVATE",-0.0432,-0.01
"150","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.047,-0.01
"151","IN_CH_STATE_MS_x_CH_RURAL",-0.0586,-0.01
"152","IN_CH_STATE_AP_x_CH_PRIVATE",-0.062,-0.02
"153","IN_CH_STATE_PB_x_CH_PRIVATE",-0.0741,-0.02
"154","FC_COMPUTER",-0.075,-0.02
"155","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0754,-0.02
"156","IN_CH_STATE_TO_x_CH_PRIVATE",-0.0842,-0.02
"157","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.0876,-0.02
"158","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.0884,-0.02
"159","IN_CH_STATE_PB_x_CH_RURAL",-0.0992,-0.02
"160","IN_CH_STATE_MS_x_CH_PRIVATE",-0.1022,-0.03
"161","CH_STATE_RJ",-0.1047,-0.03
"162","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.1113,-0.03
"163","IN_CH_STATE_MA_x_CH_PRIVATE",-0.1147,-0.03
"164","IN_CH_STATE_GO_x_FC_SEWAGE_PUBLIC",-0.1456,-0.04
"165","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.15,-0.04
"166","IN_CH_STATE_PB_x_FC_COMPUTER_LAB",-0.1555,-0.04
"167","IN_CH_STATE_SC_x_CH_STATE",-0.1562,-0.04
"168","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.1566,-0.04
"169","IN_CH_STATE_MG_x_CH_URBAN",-0.1621,-0.04
"170","IN_CH_STATE_SP_x_CH_PRIVATE",-0.1655,-0.04
