"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_RURAL",3.1885,0.73
"2","IN_CH_STATE_TO_x_CH_MUNICIPAL",3.0885,0.71
"3","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.6238,0.6
"4","IN_CH_STATE_PA_x_CH_RURAL",2.525,0.58
"5","IN_CH_STATE_AL_x_CH_RURAL",2.0967,0.48
"6","IN_CH_STATE_PI_x_CH_RURAL",2.0621,0.47
"7","IN_CH_STATE_RO_x_CH_MUNICIPAL",1.8162,0.42
"8","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",1.7875,0.41
"9","IN_CH_STATE_AC_x_CH_MUNICIPAL",1.7434,0.4
"10","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",1.705,0.39
"11","IN_CH_STATE_AL_x_CH_MUNICIPAL",1.5694,0.36
"12","IN_CH_STATE_PE_x_CH_MUNICIPAL",1.5593,0.36
"13","IN_CH_STATE_CE_x_CH_MUNICIPAL",1.4454,0.33
"14","IN_CH_STATE_SE_x_CH_MUNICIPAL",1.3604,0.31
"15","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",1.2438,0.29
"16","STR_TEACHERS_SECONDARY_FUNDEDU",1.1984,0.28
"17","IN_CH_STATE_RN_x_CH_URBAN",1.195,0.27
"18","IN_CH_STATE_GO_x_CH_STATE",1.0799,0.25
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",1.074,0.25
"20","CH_STATE_BA",1.0675,0.25
"21","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",1.0503,0.24
"22","IN_CH_STATE_MG_x_CH_RURAL",0.9832,0.23
"23","IN_CH_STATE_RO_x_CH_RURAL",0.9765,0.22
"24","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.9655,0.22
"25","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",0.9589,0.22
"26","IN_CH_STATE_AL_x_FC_LIBRARY",0.9165,0.21
"27","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.9077,0.21
"28","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.8965,0.21
"29","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.8437,0.19
"30","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.8315,0.19
"31","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.7972,0.18
"32","IN_CH_STATE_AC_x_CH_RURAL",0.7789,0.18
"33","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.7262,0.17
"34","IN_CH_STATE_MA_x_FC_INTERNET",0.6999,0.16
"35","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.6825,0.16
"36","IN_CH_STATE_GO_x_FC_LIBRARY",0.6797,0.16
"37","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.6355,0.15
"38","IN_CH_STATE_CE_x_CH_URBAN",0.6113,0.14
"39","IN_CH_STATE_MG_x_CH_PRIVATE",0.6076,0.14
"40","IN_CH_STATE_SP_x_FC_LIBRARY",0.5794,0.13
"41","IN_CH_STATE_MT_x_CH_RURAL",0.5201,0.12
"42","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.5097,0.12
"43","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.4618,0.11
"44","IN_CH_STATE_BA_x_CH_STATE",0.4496,0.1
"45","IN_CH_STATE_PA_x_FC_COMPUTER",0.4287,0.1
"46","IN_CH_STATE_AC_x_CH_PRIVATE",0.426,0.1
"47","IN_CH_STATE_DF_x_FC_LIBRARY",0.4183,0.1
"48","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.4089,0.09
"49","IN_CH_STATE_TO_x_CH_RURAL",0.4088,0.09
"50","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.4084,0.09
"51","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.4021,0.09
"52","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",0.3967,0.09
"53","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",0.3886,0.09
"54","IN_CH_STATE_CE_x_FC_LIBRARY",0.3763,0.09
"55","IN_CH_STATE_SC_x_CH_PRIVATE",0.3641,0.08
"56","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.3587,0.08
"57","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",0.3438,0.08
"58","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",0.3083,0.07
"59","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.2794,0.06
"60","IN_CH_STATE_SE_x_FC_ANTENNA_EQUIPMENT",0.2794,0.06
"61","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.2714,0.06
"62","IN_CH_STATE_AC_x_FC_INTERNET",0.2496,0.06
"63","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",0.2292,0.05
"64","IN_CH_STATE_MS_x_CH_STATE",0.2192,0.05
"65","IN_CH_STATE_MS_x_CH_SCHOOL_LARGE_SIZE",0.2161,0.05
"66","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.2064,0.05
"67","IN_CH_STATE_MA_x_FC_WATER_PUBLIC",0.1987,0.05
"68","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.1902,0.04
"69","CH_STATE_RO",0.19,0.04
"70","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1853,0.04
"71","IN_CH_STATE_MT_x_FC_NO_SPORTS_QUAD",0.1694,0.04
"72","IN_CH_STATE_RS_x_CH_PRIVATE",0.1667,0.04
"73","IN_CH_STATE_DF_x_CH_URBAN",0.1635,0.04
"74","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.162,0.04
"75","IN_CH_STATE_DF_x_FC_SEWAGE_PUBLIC",0.1528,0.04
"76","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1496,0.03
"77","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.1448,0.03
"78","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.1436,0.03
"79","IN_CH_STATE_GO_x_FC_WATER_PUBLIC",0.1143,0.03
"80","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.1117,0.03
"81","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0993,0.02
"82","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.0952,0.02
"83","FC_WATER_PUBLIC",0.0943,0.02
"84","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.0835,0.02
"85","IN_CH_STATE_RO_x_FC_ANTENNA_EQUIPMENT",0.0686,0.02
"86","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.0479,0.01
"87","IN_CH_STATE_RO_x_FC_INTERNET",0.0467,0.01
"88","IN_CH_STATE_MT_x_FC_WATER_PUBLIC",0.0464,0.01
"89","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",0.0464,0.01
"90","IN_CH_STATE_BA_x_FC_ELECTR",0.0459,0.01
"91","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0434,0.01
"92","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.0389,0.01
"93","IN_CH_STATE_BA_x_FC_WATER",0.0226,0.01
"94","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_I",0.0223,0.01
"95","IN_CH_STATE_SE_x_CH_RURAL",0.0204,0
"96","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0202,0
"97","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.0202,0
"98","CH_STATE_CE",0.012,0
"99","IN_CH_STATE_CE_x_FC_WATER",0.0115,0
"100","IN_CH_STATE_PR_x_CH_PRIVATE",0.0095,0
"101","IN_CH_STATE_RO_x_FC_COMPUTER",0.0086,0
"102","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.0077,0
"103","IN_CH_STATE_AL_x_FC_INTERNET",0.0076,0
"104","CLASS_STUDENT_TEACHER_RATIO",0.005,0
"105","IN_CH_STATE_BA_x_FC_SEWAGE",0.0048,0
"106","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_I",0.0045,0
"107","IN_CH_STATE_RO_x_FC_TV_EQUIPMENT",0.0045,0
"108","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.0037,0
"109","CLASS_SIZE",0.0024,0
"110","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.0018,0
"111","IN_CH_STATE_CE_x_FC_COMPUTER",0.0015,0
"112","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.001,0
"113","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",1e-04,0
"114","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",0,0
"115","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_T",0,0
"116","IN_CH_STATE_CE_x_FC_ELECTR_PUBLIC",0,0
"117","IN_CH_STATE_CE_x_FC_ELECTR",0,0
"118","IN_CH_STATE_CE_x_FC_SEWAGE",0,0
"119","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_T",0,0
"120","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0,0
"121","IN_CH_STATE_x_FC_WATER",0,0
"122","IN_CH_STATE_x_FC_ELECTR",0,0
"123","IN_CH_PRIVATE_x_FC_WATER",0,0
"124","IN_CH_PRIVATE_x_FC_ELECTR",0,0
"125","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE",0,0
"126","IN_CH_STATE_x_FC_SEWAGE",-1e-04,0
"127","FC_NUMBER_COMPUTERS",-2e-04,0
"128","IN_CH_STATE_PB_x_FC_ELECTR",-2e-04,0
"129","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER",-2e-04,0
"130","IN_CH_PRIVATE_x_FC_COMPUTER",-4e-04,0
"131","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",-5e-04,0
"132","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-7e-04,0
"133","ST_TOTAL_STAFF",-9e-04,0
"134","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_T",-0.0012,0
"135","FC_HAS_SPORTS_QUAD",-0.0025,0
"136","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_I",-0.006,0
"137","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",-0.0066,0
"138","CH_CLASSES_FUNDAMENTAL_EDU",-0.0072,0
"139","IN_CH_STATE_PB_x_CH_MUNICIPAL",-0.0074,0
"140","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.01,0
"141","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0105,0
"142","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-0.0121,0
"143","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.0121,0
"144","IN_CH_STATE_PB_x_FC_ELECTR_PUBLIC",-0.0181,0
"145","IN_CH_STATE_RS_x_FC_ELECTR_PUBLIC",-0.0195,0
"146","FC_ROOMS_USED",-0.0216,0
"147","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_T",-0.0226,-0.01
"148","IN_CH_PRIVATE_x_FC_TV_EQUIPMENT",-0.0249,-0.01
"149","IN_CH_STATE_RS_x_FC_COMPUTER",-0.0253,-0.01
"150","IN_CH_STATE_RS_x_FC_WATER",-0.0288,-0.01
"151","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.0341,-0.01
"152","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.0364,-0.01
"153","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0378,-0.01
"154","IN_CH_PRIVATE_x_FC_SEWAGE",-0.0466,-0.01
"155","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER",-0.0477,-0.01
"156","IN_CH_STATE_PB_x_CH_FUNDAMENTAL_EDU_I",-0.051,-0.01
"157","IN_CH_STATE_MS_x_CH_RURAL",-0.0535,-0.01
"158","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",-0.0603,-0.01
"159","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",-0.0827,-0.02
"160","IN_CH_STATE_MT_x_FC_SEWAGE_PUBLIC",-0.0835,-0.02
"161","IN_CH_STATE_GO_x_CH_SCHOOL_LARGE_SIZE",-0.0879,-0.02
"162","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR",-0.0938,-0.02
"163","FC_COMPUTER",-0.0975,-0.02
"164","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.1093,-0.03
"165","IN_CH_STATE_PB_x_CH_RURAL",-0.1175,-0.03
"166","CH_STATE_PB",-0.1271,-0.03
"167","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.1271,-0.03
"168","IN_CH_STATE_MG_x_CH_URBAN",-0.1318,-0.03
"169","IN_CH_STATE_PE_x_CH_STATE",-0.1455,-0.03
"170","IN_CH_STATE_PB_x_FC_COMPUTER_LAB",-0.1483,-0.03
"171","IN_CH_STATE_SC_x_CH_STATE",-0.1566,-0.04
"172","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.1599,-0.04
"173","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-0.1854,-0.04
"174","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",-0.1919,-0.04
"175","IN_CH_STATE_BA_x_FC_LIBRARY",-0.1953,-0.04
"176","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",-0.2078,-0.05
"177","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-0.2284,-0.05
"178","IN_CH_STATE_PB_x_FC_LIBRARY",-0.2305,-0.05
"179","IN_CH_STATE_GO_x_FC_SEWAGE_PUBLIC",-0.2325,-0.05
"180","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.2424,-0.06
"181","CH_FEDERAL",-0.2686,-0.06
"182","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.2909,-0.07
"183","IN_CH_STATE_ES_x_CH_RURAL",-0.3021,-0.07
"184","IN_CH_RURAL_x_FC_COMPUTER_LAB",-0.3158,-0.07
"185","IN_CH_STATE_TO_x_CH_PRIVATE",-0.3182,-0.07
"186","IN_CH_STATE_SP_x_CH_PRIVATE",-0.3365,-0.08
"187","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.3371,-0.08
"188","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.3594,-0.08
"189","FC_COMPUTER_LAB",-0.3763,-0.09
"190","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.3803,-0.09
"191","IN_CH_STATE_SP_x_CH_RURAL",-0.3891,-0.09
"192","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.3892,-0.09
"193","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.3962,-0.09
"194","IN_CH_STATE_SE_x_CH_STATE",-0.4072,-0.09
"195","IN_CH_STATE_ES_x_CH_MUNICIPAL",-0.4348,-0.1
"196","IN_CH_STATE_PI_x_CH_STATE",-0.461,-0.11
"197","IN_CH_STATE_GO_x_CH_PRIVATE",-0.4717,-0.11
"198","IN_CH_STATE_MS_x_CH_MUNICIPAL",-0.474,-0.11
"199","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.4808,-0.11
"200","IN_CH_STATE_MT_x_CH_PRIVATE",-0.4849,-0.11
"201","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",-0.4925,-0.11
"202","IN_CH_STATE_TO_x_CH_STATE",-0.4943,-0.11
"203","IN_CH_STATE_ES_x_FC_NO_SPORTS_QUAD",-0.5089,-0.12
"204","IN_CH_STATE_SE_x_FC_LIBRARY",-0.5369,-0.12
"205","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",-0.5382,-0.12
"206","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",-0.5426,-0.12
"207","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.5442,-0.13
"208","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",-0.55,-0.13
"209","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",-0.5512,-0.13
"210","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.554,-0.13
"211","IN_CH_STATE_PR_x_CH_MUNICIPAL",-0.585,-0.13
"212","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",-0.5944,-0.14
"213","IN_CH_STATE_RR_x_FC_NO_SPORTS_QUAD",-0.6098,-0.14
"214","IN_CH_STATE_MS_x_FC_NO_SPORTS_QUAD",-0.6153,-0.14
"215","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.6184,-0.14
"216","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.6278,-0.14
"217","CH_STATE_RS",-0.6504,-0.15
"218","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",-0.6656,-0.15
"219","IN_CH_STATE_AP_x_CH_PRIVATE",-0.7028,-0.16
"220","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.7505,-0.17
"221","FC_INTERNET",-0.7799,-0.18
