"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_AC_x_CH_FEDERAL",0.5317,-1.35
"2","IN_CH_STATE_CE_x_CH_STATE",0.3836,-0.97
"3","IN_CH_STATE_AL_x_CH_STATE",0.3598,-0.91
"4","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.3316,-0.84
"5","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.2999,-0.76
"6","IN_CH_STATE_RR_x_CH_URBAN",0.2507,-0.64
"7","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.2436,-0.62
"8","IN_CH_STATE_PR_x_CH_RURAL",0.2376,-0.6
"9","IN_CH_STATE_PI_x_CH_PRIVATE",0.234,-0.59
"10","IN_CH_STATE_GO_x_CH_FEDERAL",0.2316,-0.59
"11","IN_CH_STATE_RN_x_CH_PRIVATE",0.2113,-0.54
"12","IN_CH_STATE_RR_x_CH_FEDERAL",0.1945,-0.49
"13","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.191,-0.49
"14","IN_CH_STATE_PR_x_CH_STATE",0.1832,-0.47
"15","IN_CH_STATE_AM_x_CH_SCHOOL_LARGE_SIZE",0.1794,-0.46
"16","IN_CH_STATE_MA_x_CH_STATE",0.1518,-0.39
"17","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.1388,-0.35
"18","IN_CH_STATE_ES_x_FC_HAS_SPORTS_QUAD",0.1295,-0.33
"19","IN_CH_STATE_GO_x_CH_PRIVATE",0.1286,-0.33
"20","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.122,-0.31
"21","IN_CH_STATE_RJ_x_CH_PRIVATE",0.1215,-0.31
"22","IN_CH_STATE_DF_x_FC_ANTENNA_EQUIPMENT",0.1124,-0.29
"23","IN_CH_STATE_MT_x_CH_PRIVATE",0.1121,-0.28
"24","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.1089,-0.28
"25","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.1053,-0.27
"26","IN_CH_STATE_RS_x_FC_INTERNET",0.1053,-0.27
"27","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.1042,-0.26
"28","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.1002,-0.25
"29","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.099,-0.25
"30","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.0958,-0.24
"31","IN_CH_STATE_PB_x_CH_PRIVATE",0.0912,-0.23
"32","IN_CH_STATE_SP_x_CH_PRIVATE",0.0872,-0.22
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.087,-0.22
"34","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.0814,-0.21
"35","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.0812,-0.21
"36","IN_CH_STATE_AP_x_CH_STATE",0.0811,-0.21
"37","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.0735,-0.19
"38","IN_CH_STATE_PE_x_CH_STATE",0.0722,-0.18
"39","IN_CH_STATE_MS_x_FC_SEWAGE_PUBLIC",0.0692,-0.18
"40","IN_CH_STATE_TO_x_CH_PRIVATE",0.0677,-0.17
"41","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",0.0675,-0.17
"42","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.0657,-0.17
"43","FC_LIBRARY",0.0636,-0.16
"44","IN_CH_STATE_SC_x_CH_STATE",0.0615,-0.16
"45","IN_CH_STATE_RS_x_CH_RURAL",0.0589,-0.15
"46","IN_CH_STATE_PA_x_CH_FEDERAL",0.0487,-0.12
"47","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.0478,-0.12
"48","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.046,-0.12
"49","IN_CH_STATE_PA_x_CH_PRIVATE",0.0458,-0.12
"50","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0456,-0.12
"51","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.043,-0.11
"52","IN_CH_STATE_CE_x_CH_PRIVATE",0.0429,-0.11
"53","FC_COMPUTER_LAB",0.0398,-0.1
"54","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0397,-0.1
"55","IN_CH_STATE_AM_x_CH_MUNICIPAL",0.0374,-0.09
"56","IN_CH_STATE_AP_x_FC_INTERNET",0.0366,-0.09
"57","IN_CH_STATE_ES_x_FC_LIBRARY",0.0363,-0.09
"58","IN_CH_STATE_RR_x_FC_NO_SPORTS_QUAD",0.0352,-0.09
"59","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.0343,-0.09
"60","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0338,-0.09
"61","IN_CH_STATE_SE_x_CH_MUNICIPAL",0.0336,-0.09
"62","IN_CH_STATE_MT_x_CH_RURAL",0.0291,-0.07
"63","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",0.0278,-0.07
"64","IN_CH_STATE_MT_x_FC_NO_SPORTS_QUAD",0.0261,-0.07
"65","IN_CH_STATE_DF_x_CH_SCHOOL_LARGE_SIZE",0.0258,-0.07
"66","IN_CH_STATE_PE_x_CH_RURAL",0.0237,-0.06
"67","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.0211,-0.05
"68","IN_CH_STATE_ES_x_CH_URBAN",0.0204,-0.05
"69","IN_CH_STATE_PA_x_CH_RURAL",0.0192,-0.05
"70","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.0192,-0.05
"71","IN_CH_STATE_MS_x_FC_LIBRARY",0.0187,-0.05
"72","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.0159,-0.04
"73","IN_CH_STATE_GO_x_CH_RURAL",0.0135,-0.03
"74","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0103,-0.03
"75","FC_ANTENNA_EQUIPMENT",0.0091,-0.02
"76","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",0.0088,-0.02
"77","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.0088,-0.02
"78","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",0.008,-0.02
"79","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0076,-0.02
"80","IN_CH_STATE_SP_x_FC_LIBRARY",0.0067,-0.02
"81","IN_CH_STATE_RO_x_CH_STATE",0.0052,-0.01
"82","IN_CH_STATE_CE_x_FC_LIBRARY",0.005,-0.01
"83","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.0039,-0.01
"84","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0033,-0.01
"85","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.003,-0.01
"86","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",0.0027,-0.01
"87","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.0024,-0.01
"88","FC_ROOMS_AVAILABLE",0.0023,-0.01
"89","FC_ROOMS_USED",0.0023,-0.01
"90","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0021,-0.01
"91","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.002,-0.01
"92","IN_CH_STATE_MA_x_FC_LIBRARY",0.001,0
"93","IN_CH_STATE_RO_x_FC_ANTENNA_EQUIPMENT",9e-04,0
"94","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",7e-04,0
"95","ST_TOTAL_STAFF",4e-04,0
"96","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",3e-04,0
"97","IN_CH_RURAL_x_FC_WATER_PUBLIC",2e-04,0
"98","CH_MATRI_FUNDAMENTAL_EDU",1e-04,0
"99","ST_FUND_EDU_TEACHERS",1e-04,0
"100","CH_URBAN",0,0
"101","CH_MATRI_FUNDAMENTAL_EDU_T",0,0
"102","CH_RURAL",0,0
"103","IN_CH_STATE_ES_x_FC_WATER_PUBLIC",0,0
"104","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0,0
"105","FC_NUMBER_COMPUTERS",-1e-04,0
"106","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",-1e-04,0
"107","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-1e-04,0
"108","IN_CH_URBAN_x_FC_COMPUTER",-2e-04,0
"109","IN_CH_URBAN_x_FC_INTERNET",-3e-04,0
