"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_CE_x_CH_STATE",0.6999,0.52
"2","IN_CH_STATE_MA_x_CH_PRIVATE",0.684,0.5
"3","IN_CH_STATE_RN_x_CH_PRIVATE",0.6181,0.46
"4","STR_TEACHERS_ONLY_FUNDEDU",0.5667,0.42
"5","CH_FEDERAL",0.5382,0.4
"6","FC_LIBRARY",0.5011,0.37
"7","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.4923,0.36
"8","IN_CH_STATE_AL_x_CH_PRIVATE",0.4861,0.36
"9","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.4546,0.34
"10","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.4239,0.31
"11","IN_CH_STATE_AP_x_CH_RURAL",0.4064,0.3
"12","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.3949,0.29
"13","IN_CH_STATE_TO_x_CH_STATE",0.3768,0.28
"14","IN_CH_STATE_RO_x_CH_PRIVATE",0.3747,0.28
"15","IN_CH_STATE_SC_x_CH_STATE",0.3695,0.27
"16","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.3667,0.27
"17","IN_CH_STATE_SC_x_CH_RURAL",0.3312,0.24
"18","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.3295,0.24
"19","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.3248,0.24
"20","IN_CH_STATE_SP_x_CH_PRIVATE",0.3245,0.24
"21","IN_CH_PRIVATE_x_FC_ELECTR_PUBLIC",0.3238,0.24
"22","IN_CH_STATE_AP_x_CH_PRIVATE",0.3145,0.23
"23","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",0.3137,0.23
"24","IN_CH_STATE_MS_x_CH_MUNICIPAL",0.3045,0.22
"25","IN_CH_STATE_SE_x_CH_STATE",0.3008,0.22
"26","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.3007,0.22
"27","IN_CH_STATE_AP_x_CH_STATE",0.2998,0.22
"28","IN_CH_STATE_AM_x_CH_MUNICIPAL",0.2949,0.22
"29","IN_CH_STATE_MA_x_FC_LIBRARY",0.2907,0.21
"30","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.2885,0.21
"31","IN_CH_STATE_BA_x_CH_PRIVATE",0.2816,0.21
"32","IN_CH_STATE_RS_x_CH_RURAL",0.2592,0.19
"33","IN_CH_STATE_AM_x_FC_NO_SPORTS_QUAD",0.2541,0.19
"34","CH_STATE_RS",0.2486,0.18
"35","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",0.2464,0.18
"36","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.2269,0.17
"37","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.2245,0.17
"38","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.2195,0.16
"39","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.2176,0.16
"40","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.217,0.16
"41","CH_STATE",0.2116,0.16
"42","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.2093,0.15
"43","IN_CH_STATE_MA_x_CH_STATE",0.1903,0.14
