"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.8704,-9.15
"2","IN_CH_STATE_PE_x_CH_RURAL",0.8449,-8.88
"3","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.7002,-7.36
"4","IN_CH_STATE_PA_x_CH_RURAL",0.6238,-6.56
"5","IN_CH_STATE_PI_x_CH_RURAL",0.5787,-6.09
"6","IN_CH_STATE_SE_x_CH_PRIVATE",0.5464,-5.75
"7","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.5034,-5.29
"8","STR_TEACHERS_SECONDARY_FUNDEDU",0.494,-5.19
"9","IN_CH_STATE_AL_x_CH_MUNICIPAL",0.4922,-5.18
"10","IN_CH_STATE_RO_x_CH_MUNICIPAL",0.4822,-5.07
"11","IN_CH_STATE_AM_x_CH_PRIVATE",0.462,-4.86
"12","IN_CH_STATE_AL_x_CH_RURAL",0.4469,-4.7
"13","IN_CH_STATE_GO_x_CH_STATE",0.4442,-4.67
"14","IN_CH_STATE_MT_x_CH_SCHOOL_LARGE_SIZE",0.4137,-4.35
"15","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.413,-4.34
"16","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.3896,-4.1
"17","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.3615,-3.8
"18","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.3529,-3.71
"19","IN_CH_STATE_CE_x_CH_PRIVATE",0.3352,-3.52
"20","IN_CH_STATE_RO_x_CH_RURAL",0.3324,-3.5
"21","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",0.3287,-3.46
"22","IN_CH_STATE_PE_x_CH_MUNICIPAL",0.3121,-3.28
"23","IN_CH_STATE_BA_x_CH_STATE",0.3041,-3.2
"24","IN_CH_STATE_SE_x_CH_MUNICIPAL",0.2928,-3.08
"25","IN_CH_STATE_PB_x_CH_PRIVATE",0.2926,-3.08
"26","IN_CH_STATE_RS_x_CH_PRIVATE",0.2869,-3.02
"27","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",0.2725,-2.87
"28","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.2545,-2.68
"29","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.2277,-2.39
"30","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.2275,-2.39
"31","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.2208,-2.32
"32","IN_CH_STATE_MG_x_CH_RURAL",0.207,-2.18
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.2065,-2.17
"34","IN_CH_STATE_AC_x_CH_RURAL",0.2038,-2.14
"35","IN_CH_STATE_AC_x_CH_PRIVATE",0.2022,-2.13
"36","IN_CH_STATE_GO_x_FC_LIBRARY",0.1965,-2.07
"37","IN_CH_STATE_MS_x_CH_SCHOOL_LARGE_SIZE",0.1962,-2.06
"38","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.1873,-1.97
"39","IN_CH_STATE_MA_x_FC_INTERNET",0.1846,-1.94
"40","IN_CH_STATE_SP_x_FC_LIBRARY",0.1845,-1.94
"41","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1836,-1.93
"42","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.1832,-1.93
"43","IN_CH_STATE_CE_x_CH_URBAN",0.1826,-1.92
"44","IN_CH_STATE_DF_x_FC_SEWAGE_PUBLIC",0.1709,-1.8
"45","IN_CH_STATE_AL_x_FC_LIBRARY",0.1695,-1.78
"46","IN_CH_STATE_RN_x_CH_URBAN",0.1689,-1.78
"47","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.1687,-1.77
"48","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.1588,-1.67
"49","IN_CH_STATE_MS_x_CH_STATE",0.1585,-1.67
"50","CH_STATE_BA",0.1583,-1.66
"51","IN_CH_STATE_TO_x_CH_RURAL",0.1494,-1.57
"52","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.1454,-1.53
"53","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",0.1398,-1.47
"54","IN_CH_STATE_MT_x_CH_RURAL",0.1277,-1.34
"55","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.1188,-1.25
"56","IN_CH_STATE_CE_x_FC_LIBRARY",0.1107,-1.16
"57","IN_CH_STATE_MT_x_CH_STATE",0.1068,-1.12
"58","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.1062,-1.12
"59","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0975,-1.03
"60","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0942,-0.99
"61","IN_CH_STATE_SE_x_FC_ANTENNA_EQUIPMENT",0.0922,-0.97
"62","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.082,-0.86
"63","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.0801,-0.84
"64","IN_CH_STATE_PA_x_CH_STATE",0.0755,-0.79
"65","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.0689,-0.72
"66","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0688,-0.72
"67","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.0663,-0.7
"68","IN_CH_STATE_RJ_x_CH_PRIVATE",0.0619,-0.65
"69","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.0608,-0.64
"70","IN_CH_STATE_RJ_x_CH_STATE",0.0574,-0.6
"71","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",0.0514,-0.54
"72","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_I",0.0504,-0.53
"73","IN_CH_STATE_DF_x_CH_STATE",0.048,-0.5
"74","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.036,-0.38
"75","IN_CH_STATE_SP_x_CH_STATE",0.0323,-0.34
"76","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.0287,-0.3
"77","IN_CH_STATE_MA_x_CH_URBAN",0.0246,-0.26
"78","IN_CH_STATE_DF_x_CH_URBAN",0.0172,-0.18
"79","IN_CH_STATE_BA_x_CH_RURAL",0.0166,-0.17
"80","CLASS_STUDENT_TEACHER_RATIO",0.0131,-0.14
"81","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_I",0.0113,-0.12
"82","IN_CH_STATE_MA_x_FC_WATER",0.0089,-0.09
"83","IN_CH_STATE_BA_x_FC_SEWAGE",0.0074,-0.08
