"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_FEDERAL",25.5746,1.92
"2","IN_CH_STATE_PI_x_CH_PRIVATE",12.7424,0.96
"3","IN_CH_STATE_PI_x_CH_FEDERAL",12.5074,0.94
"4","IN_CH_STATE_PB_x_CH_PRIVATE",8.2959,0.62
"5","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",7.7171,0.58
"6","IN_CH_STATE_AM_x_CH_STATE",7.6547,0.57
"7","IN_CH_STATE_RN_x_CH_PRIVATE",6.7838,0.51
"8","IN_CH_STATE_BA_x_CH_STATE",5.9147,0.44
"9","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",3.5689,0.27
"10","IN_CH_STATE_MA_x_FC_INTERNET",3.5226,0.26
"11","IN_CH_STATE_PA_x_CH_STATE",3.0983,0.23
"12","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.8824,0.22
"13","IN_CH_STATE_MA_x_CH_URBAN",2.865,0.21
"14","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",2.7024,0.2
"15","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",2.6985,0.2
"16","IN_CH_STATE_RN_x_CH_RURAL",2.688,0.2
"17","IN_CH_STATE_SE_x_CH_RURAL",2.001,0.15
"18","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.9778,0.15
"19","IN_CH_STATE_ES_x_CH_RURAL",1.8553,0.14
"20","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",1.7616,0.13
"21","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.6523,0.12
"22","STR_TEACHERS_SECONDARY_FUNDEDU",1.5962,0.12
"23","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",1.331,0.1
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.2862,0.1
"25","IN_CH_MUNICIPAL_x_FC_SEWAGE",1.2113,0.09
"26","IN_CH_STATE_BA_x_CH_URBAN",1.054,0.08
"27","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.8458,0.06
"28","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.8098,0.06
"29","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.7934,0.06
"30","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.7915,0.06
"31","IN_CH_STATE_MG_x_CH_PRIVATE",0.7874,0.06
"32","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.7374,0.06
"33","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.6687,0.05
"34","IN_CH_STATE_PE_x_CH_RURAL",0.613,0.05
"35","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.5643,0.04
"36","IN_CH_STATE_CE_x_CH_RURAL",0.5186,0.04
"37","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.4716,0.04
"38","IN_CH_STATE_BA_x_CH_PRIVATE",0.4174,0.03
"39","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.2743,0.02
"40","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.2734,0.02
"41","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.2633,0.02
"42","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.2174,0.02
"43","IN_CH_STATE_AM_x_FC_COMPUTER",0.1249,0.01
"44","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.1249,0.01
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.1112,0.01
"46","FC_ROOMS_USED",-0.0012,0
"47","IN_CH_STATE_ES_x_FC_HAS_SPORTS_QUAD",-0.0036,0
"48","FC_NUMBER_COMPUTERS",-0.0101,0
"49","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0535,0
"50","FC_ROOMS_AVAILABLE",-0.0633,0
"51","IN_CH_FEDERAL_x_FC_TV_EQUIPMENT",-0.0734,-0.01
"52","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.1044,-0.01
"53","IN_CH_STATE_ES_x_FC_LIBRARY",-0.1301,-0.01
"54","FC_COMPUTER",-0.1433,-0.01
"55","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.2263,-0.02
"56","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-0.241,-0.02
"57","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.2477,-0.02
"58","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.2665,-0.02
"59","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.299,-0.02
"60","IN_CH_STATE_ES_x_FC_INTERNET",-0.3101,-0.02
"61","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.3856,-0.03
"62","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-0.4347,-0.03
"63","IN_CH_STATE_RO_x_FC_LIBRARY",-0.4447,-0.03
"64","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.4857,-0.04
"65","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.4984,-0.04
"66","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.499,-0.04
"67","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.5924,-0.04
"68","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.6124,-0.05
"69","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.6217,-0.05
"70","FC_WATER_PUBLIC",-0.6332,-0.05
"71","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.6484,-0.05
"72","FC_WATER",-0.6764,-0.05
"73","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.7232,-0.05
"74","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",-0.7544,-0.06
"75","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-1.0202,-0.08
"76","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-1.0854,-0.08
"77","IN_CH_URBAN_x_FC_WATER_PUBLIC",-1.372,-0.1
"78","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-1.3919,-0.1
"79","IN_CH_STATE_SC_x_CH_RURAL",-1.4204,-0.11
"80","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-1.4947,-0.11
"81","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-1.5456,-0.12
"82","FC_INTERNET",-1.7236,-0.13
"83","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-1.8335,-0.14
"84","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",-1.9383,-0.15
"85","IN_CH_STATE_PR_x_CH_RURAL",-2.0604,-0.15
"86","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-2.1527,-0.16
"87","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-2.4074,-0.18
"88","STR_TEACHERS_INCOMPLETE_FUNDEDU",-2.6605,-0.2
"89","IN_CH_STATE_SP_x_CH_PRIVATE",-2.7726,-0.21
"90","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",-2.8305,-0.21
"91","IN_CH_MUNICIPAL_x_FC_LIBRARY",-2.8681,-0.21
"92","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-2.9681,-0.22
"93","IN_CH_STATE_PR_x_CH_MUNICIPAL",-3.4888,-0.26
"94","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-3.5443,-0.27
"95","IN_CH_STATE_BA_x_CH_FEDERAL",-3.702,-0.28
"96","IN_CH_PRIVATE_x_FC_LIBRARY",-3.9809,-0.3
"97","IN_CH_STATE_MG_x_CH_RURAL",-4.0629,-0.3
