"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PI_x_CH_FEDERAL",16.5236,1.5
"2","IN_CH_STATE_PI_x_CH_PRIVATE",11.4528,1.04
"3","IN_CH_STATE_RR_x_CH_FEDERAL",8.563,0.78
"4","IN_CH_STATE_PB_x_CH_PRIVATE",7.7185,0.7
"5","IN_CH_STATE_AM_x_CH_STATE",7.1079,0.64
"6","IN_CH_STATE_RN_x_CH_PRIVATE",5.9988,0.54
"7","IN_CH_STATE_BA_x_CH_STATE",5.9575,0.54
"8","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",5.5365,0.5
"9","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",4.0839,0.37
"10","IN_CH_STATE_MA_x_FC_INTERNET",2.9424,0.27
"11","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.7071,0.25
"12","IN_CH_STATE_MA_x_CH_URBAN",2.5567,0.23
"13","IN_CH_STATE_PA_x_CH_STATE",2.5096,0.23
"14","IN_CH_STATE_RN_x_CH_RURAL",2.4817,0.23
"15","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",2.463,0.22
"16","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",2.3002,0.21
"17","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.8463,0.17
"18","IN_CH_STATE_ES_x_CH_RURAL",1.6872,0.15
"19","IN_CH_STATE_SE_x_CH_RURAL",1.6279,0.15
"20","STR_TEACHERS_SECONDARY_FUNDEDU",1.5835,0.14
"21","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",1.4618,0.13
"22","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.3634,0.12
"23","IN_CH_STATE_BA_x_CH_URBAN",1.3084,0.12
"24","IN_CH_MUNICIPAL_x_FC_SEWAGE",1.1681,0.11
"25","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.93,0.08
"26","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.8117,0.07
"27","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.695,0.06
"28","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.6854,0.06
"29","IN_CH_STATE_CE_x_CH_RURAL",0.6535,0.06
"30","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.6274,0.06
"31","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.6072,0.06
"32","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.588,0.05
"33","IN_CH_STATE_PE_x_CH_RURAL",0.525,0.05
"34","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.3747,0.03
"35","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.3563,0.03
"36","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.286,0.03
"37","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.2708,0.02
"38","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.2189,0.02
"39","IN_CH_STATE_AM_x_FC_COMPUTER",0.1681,0.02
"40","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.1476,0.01
"41","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.0952,0.01
"42","IN_CH_STATE_AL_x_CH_URBAN",0.0704,0.01
"43","IN_CH_STATE_AL_x_FC_INTERNET",0.0179,0
"44","IN_CH_STATE_TO_x_CH_RURAL",0.0105,0
"45","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.0058,0
"46","FC_NUMBER_COMPUTERS",-0.0026,0
"47","FC_ROOMS_AVAILABLE",-0.0172,0
"48","IN_CH_STATE_ES_x_FC_INTERNET",-0.0284,0
"49","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.034,0
"50","IN_CH_STATE_MG_x_CH_STATE",-0.046,0
"51","IN_CH_STATE_ES_x_FC_LIBRARY",-0.07,-0.01
"52","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.0705,-0.01
"53","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.1331,-0.01
"54","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.1859,-0.02
"55","FC_WATER",-0.254,-0.02
"56","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.2889,-0.03
"57","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.2993,-0.03
"58","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.4052,-0.04
"59","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-0.41,-0.04
"60","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.4639,-0.04
"61","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.5385,-0.05
"62","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.5422,-0.05
"63","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.6295,-0.06
"64","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-0.6703,-0.06
"65","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.7241,-0.07
"66","FC_WATER_PUBLIC",-0.7531,-0.07
"67","IN_CH_STATE_RO_x_FC_LIBRARY",-0.804,-0.07
"68","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.8205,-0.07
"69","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-0.8738,-0.08
"70","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.9334,-0.08
"71","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.9685,-0.09
