"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_FEDERAL",13.176,1.09
"2","IN_CH_STATE_PI_x_CH_FEDERAL",12.0757,1
"3","IN_CH_STATE_PI_x_CH_PRIVATE",11.642,0.96
"4","IN_CH_STATE_PB_x_CH_PRIVATE",8.0118,0.66
"5","IN_CH_STATE_AM_x_CH_STATE",7.6183,0.63
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",7.4771,0.62
"7","IN_CH_STATE_RN_x_CH_PRIVATE",6.042,0.5
"8","IN_CH_STATE_BA_x_CH_STATE",5.6798,0.47
"9","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",3.8636,0.32
"10","IN_CH_STATE_MA_x_FC_INTERNET",3.2691,0.27
"11","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",2.6493,0.22
"12","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.5816,0.21
"13","IN_CH_STATE_RN_x_CH_RURAL",2.5357,0.21
"14","IN_CH_STATE_PA_x_CH_STATE",2.4677,0.2
"15","IN_CH_STATE_MA_x_CH_URBAN",2.3084,0.19
"16","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",2.3049,0.19
"17","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",2.0179,0.17
"18","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",1.7437,0.14
"19","IN_CH_STATE_SE_x_CH_RURAL",1.7368,0.14
"20","IN_CH_STATE_ES_x_CH_RURAL",1.7096,0.14
"21","STR_TEACHERS_SECONDARY_FUNDEDU",1.6382,0.14
"22","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.4461,0.12
"23","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",1.1787,0.1
"24","IN_CH_STATE_BA_x_CH_URBAN",1.1335,0.09
"25","IN_CH_MUNICIPAL_x_FC_SEWAGE",1.1124,0.09
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.9305,0.08
"27","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.9048,0.07
"28","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.7796,0.06
"29","IN_CH_STATE_CE_x_CH_RURAL",0.7185,0.06
"30","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.6772,0.06
"31","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.6672,0.06
"32","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.6367,0.05
"33","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.6214,0.05
"34","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.5663,0.05
"35","IN_CH_STATE_PE_x_CH_RURAL",0.4808,0.04
"36","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.3632,0.03
"37","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.3004,0.02
"38","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.2845,0.02
"39","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.2634,0.02
"40","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1829,0.02
"41","IN_CH_STATE_BA_x_CH_PRIVATE",0.1673,0.01
"42","IN_CH_STATE_AM_x_FC_COMPUTER",0.1624,0.01
"43","IN_CH_STATE_AL_x_FC_INTERNET",0.1249,0.01
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.0488,0
"45","IN_CH_STATE_PE_x_CH_MUNICIPAL",0.0447,0
"46","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.002,0
"47","FC_ROOMS_USED",-0.0015,0
"48","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-0.0033,0
"49","FC_NUMBER_COMPUTERS",-0.0079,0
"50","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0391,0
"51","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.0437,0
"52","FC_ROOMS_AVAILABLE",-0.0447,0
"53","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0593,0
"54","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.067,-0.01
"55","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.0901,-0.01
"56","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-0.1535,-0.01
"57","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.1717,-0.01
"58","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.1968,-0.02
"59","FC_WATER",-0.2218,-0.02
"60","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.2489,-0.02
"61","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.2701,-0.02
"62","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.3076,-0.03
"63","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",-0.4008,-0.03
"64","IN_CH_STATE_RO_x_FC_LIBRARY",-0.4189,-0.03
"65","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.5385,-0.04
"66","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.5444,-0.05
"67","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.5797,-0.05
"68","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.6135,-0.05
"69","FC_WATER_PUBLIC",-0.6701,-0.06
"70","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.7934,-0.07
"71","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.8034,-0.07
"72","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.8602,-0.07
"73","IN_CH_URBAN_x_FC_WATER_PUBLIC",-1.0707,-0.09
"74","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-1.1268,-0.09
"75","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-1.1287,-0.09
"76","IN_CH_STATE_x_FC_TV_EQUIPMENT",-1.1643,-0.1
"77","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-1.252,-0.1
"78","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-1.3767,-0.11
"79","IN_CH_STATE_SP_x_CH_PRIVATE",-1.451,-0.12
"80","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",-1.5132,-0.13
"81","IN_CH_STATE_SC_x_CH_RURAL",-1.6625,-0.14
"82","IN_CH_STATE_PR_x_CH_MUNICIPAL",-1.685,-0.14
