"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PI_x_CH_FEDERAL",9.7614,0.97
"2","IN_CH_STATE_PI_x_CH_PRIVATE",9.5842,0.95
"3","IN_CH_STATE_PB_x_CH_PRIVATE",6.829,0.68
"4","IN_CH_STATE_AM_x_CH_STATE",6.7091,0.66
"5","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",6.1918,0.61
"6","IN_CH_STATE_BA_x_CH_STATE",5.2443,0.52
"7","IN_CH_STATE_RN_x_CH_PRIVATE",4.5494,0.45
"8","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",3.1358,0.31
"9","IN_CH_STATE_MA_x_FC_INTERNET",2.6081,0.26
"10","IN_CH_STATE_PA_x_CH_STATE",2.2189,0.22
"11","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.2107,0.22
"12","IN_CH_STATE_RN_x_CH_RURAL",2.0826,0.21
"13","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.9483,0.19
"14","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.9102,0.19
"15","IN_CH_STATE_MA_x_CH_URBAN",1.7749,0.18
"16","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.6512,0.16
"17","IN_CH_MUNICIPAL_x_FC_SEWAGE",1.4716,0.15
"18","STR_TEACHERS_SECONDARY_FUNDEDU",1.4487,0.14
"19","IN_CH_STATE_SE_x_CH_RURAL",1.4452,0.14
"20","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.283,0.13
"21","IN_CH_STATE_ES_x_CH_RURAL",1.2336,0.12
"22","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",1.0296,0.1
"23","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.9678,0.1
"24","IN_CH_STATE_BA_x_CH_URBAN",0.7853,0.08
"25","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.6965,0.07
"26","IN_CH_STATE_CE_x_CH_RURAL",0.5866,0.06
"27","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.567,0.06
"28","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.5442,0.05
"29","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.5414,0.05
"30","IN_CH_STATE_PE_x_CH_RURAL",0.4461,0.04
"31","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.3901,0.04
"32","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.3631,0.04
"33","IN_CH_STATE_AL_x_CH_URBAN",0.3424,0.03
"34","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.303,0.03
"35","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.2223,0.02
"36","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.2079,0.02
"37","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1745,0.02
"38","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.1544,0.02
"39","IN_CH_STATE_BA_x_CH_PRIVATE",0.1512,0.01
"40","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.1065,0.01
