"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",42.2479,-36.73
"2","IN_CH_STATE_CE_x_CH_FEDERAL",8.7673,-7.62
"3","IN_CH_STATE_RN_x_CH_FEDERAL",5.0092,-4.35
"4","IN_CH_STATE_ES_x_CH_FEDERAL",2.8818,-2.51
"5","IN_CH_STATE_MA_x_CH_STATE",1.8369,-1.6
"6","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",1.8077,-1.57
"7","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",1.7338,-1.51
"8","IN_CH_URBAN_x_FC_TV_EQUIPMENT",1.3835,-1.2
"9","IN_CH_STATE_SP_x_CH_RURAL",1.104,-0.96
"10","IN_CH_STATE_RJ_x_CH_RURAL",0.8808,-0.77
"11","IN_CH_STATE_MG_x_CH_RURAL",0.8736,-0.76
"12","IN_CH_STATE_RS_x_CH_RURAL",0.7766,-0.68
"13","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.7355,-0.64
"14","IN_CH_STATE_PR_x_CH_RURAL",0.6796,-0.59
"15","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.675,-0.59
"16","IN_CH_RURAL_x_FC_LIBRARY",0.6733,-0.59
"17","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.6118,-0.53
"18","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.573,-0.5
"19","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.5627,-0.49
"20","IN_CH_STATE_SC_x_CH_RURAL",0.4938,-0.43
"21","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.459,-0.4
"22","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.4559,-0.4
"23","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.4512,-0.39
"24","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.4132,-0.36
"25","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.376,-0.33
"26","FC_COMPUTER",0.3509,-0.31
"27","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.3189,-0.28
"28","IN_CH_PRIVATE_x_FC_INTERNET",0.3186,-0.28
"29","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.3103,-0.27
"30","IN_CH_STATE_RO_x_FC_LIBRARY",0.2568,-0.22
"31","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.2184,-0.19
"32","IN_CH_STATE_TO_x_FC_WATER_PUBLIC",0.2095,-0.18
"33","IN_CH_FEDERAL_x_FC_INTERNET",0.2079,-0.18
"34","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.1975,-0.17
"35","FC_WATER_PUBLIC",0.1599,-0.14
"36","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.135,-0.12
"37","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1291,-0.11
"38","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.1231,-0.11
"39","IN_CH_STATE_ES_x_FC_INTERNET",0.1204,-0.1
"40","IN_CH_URBAN_x_FC_COMPUTER",0.1183,-0.1
"41","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.1147,-0.1
"42","IN_CH_STATE_RN_x_CH_STATE",0.1096,-0.1
"43","FC_INTERNET",0.0775,-0.07
"44","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0753,-0.07
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.0745,-0.06
"46","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.0682,-0.06
"47","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0646,-0.06
"48","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0619,-0.05
"49","FC_WATER",0.0554,-0.05
"50","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.0428,-0.04
"51","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.0394,-0.03
"52","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.024,-0.02
"53","FC_ROOMS_AVAILABLE",0.0081,-0.01
"54","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0062,-0.01
"55","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.0045,0
"56","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",6e-04,0
"57","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",-0.0123,0.01
"58","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",-0.0139,0.01
"59","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0299,0.03
"60","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",-0.036,0.03
"61","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",-0.0367,0.03
"62","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",-0.0546,0.05
"63","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.0576,0.05
"64","IN_CH_STATE_CE_x_CH_RURAL",-0.0874,0.08
"65","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",-0.0905,0.08
"66","IN_CH_STATE_PE_x_CH_RURAL",-0.1089,0.09
"67","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.1275,0.11
"68","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",-0.1307,0.11
"69","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.1436,0.12
"70","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",-0.1457,0.13
"71","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",-0.1786,0.16
"72","STR_TEACHERS_SECONDARY_FUNDEDU",-0.2189,0.19
"73","IN_CH_STATE_SE_x_CH_RURAL",-0.224,0.19
"74","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.2586,0.22
"75","IN_CH_STATE_RN_x_CH_RURAL",-0.2768,0.24
"76","IN_CH_STATE_RN_x_CH_PRIVATE",-0.3008,0.26
"77","IN_CH_STATE_MA_x_CH_URBAN",-0.3097,0.27
"78","IN_CH_STATE_BA_x_CH_STATE",-0.314,0.27
"79","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.4094,0.36
"80","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.4518,0.39
"81","IN_CH_STATE_MA_x_FC_INTERNET",-0.4936,0.43
"82","IN_CH_STATE_PA_x_CH_STATE",-0.5547,0.48
"83","IN_CH_STATE_PB_x_CH_PRIVATE",-0.77,0.67
"84","IN_CH_STATE_AM_x_CH_STATE",-0.864,0.75
"85","IN_CH_STATE_PI_x_CH_PRIVATE",-1.5414,1.34
"86","IN_CH_STATE_RR_x_CH_FEDERAL",-3.0676,2.67
