"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RJ_x_CH_FEDERAL",1.2438,-15.53
"2","IN_CH_STATE_SP_x_CH_PRIVATE",0.2885,-3.6
"3","IN_CH_STATE_x_FC_INTERNET",0.1451,-1.81
"4","IN_CH_STATE_MG_x_CH_FEDERAL",0.1427,-1.78
"5","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.1424,-1.78
"6","IN_CH_STATE_PR_x_FC_INTERNET",0.089,-1.11
"7","IN_CH_STATE_SC_x_CH_PRIVATE",0.0884,-1.1
"8","IN_CH_URBAN_x_FC_LIBRARY",0.0861,-1.07
"9","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.0788,-0.98
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.077,-0.96
"11","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.0762,-0.95
"12","IN_CH_STATE_BA_x_CH_RURAL",0.073,-0.91
"13","IN_CH_STATE_PR_x_FC_LIBRARY",0.0707,-0.88
"14","IN_CH_STATE_RS_x_FC_LIBRARY",0.0707,-0.88
"15","IN_CH_STATE_SC_x_FC_LIBRARY",0.0651,-0.81
"16","IN_CH_STATE_SP_x_FC_LIBRARY",0.0509,-0.64
"17","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0489,-0.61
"18","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",0.0478,-0.6
"19","IN_CH_STATE_RS_x_FC_INTERNET",0.0434,-0.54
"20","IN_CH_STATE_MG_x_CH_PRIVATE",0.0399,-0.5
"21","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.0322,-0.4
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.031,-0.39
"23","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",0.0238,-0.3
"24","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",0.0223,-0.28
"25","IN_CH_STATE_PB_x_CH_RURAL",0.0163,-0.2
"26","IN_CH_STATE_PA_x_CH_STATE",0.0115,-0.14
"27","IN_CH_STATE_SP_x_FC_INTERNET",0.0055,-0.07
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0032,-0.04
"29","IN_CH_STATE_PI_x_CH_RURAL",0.0022,-0.03
"30","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",4e-04,0
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",4e-04,0
"32","FC_NUMBER_COMPUTERS",3e-04,0
"33","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",3e-04,0
"34","ST_TOTAL_STAFF",2e-04,0
"35","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.0036,0.04
"36","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",-0.0037,0.05
"37","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",-0.0074,0.09
"38","IN_CH_STATE_AC_x_FC_NO_SPORTS_QUAD",-0.0102,0.13
"39","IN_CH_STATE_AC_x_CH_FUNDAMENTAL_EDU_T",-0.0109,0.14
"40","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.0159,0.2
"41","IN_CH_STATE_RO_x_CH_RURAL",-0.0185,0.23
"42","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.0204,0.25
"43","IN_CH_STATE_TO_x_FC_COMPUTER",-0.0206,0.26
"44","IN_CH_STATE_RN_x_FC_INTERNET",-0.023,0.29
"45","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.0233,0.29
"46","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",-0.0264,0.33
"47","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.0278,0.35
"48","IN_CH_STATE_ES_x_CH_RURAL",-0.0281,0.35
"49","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.0293,0.37
"50","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.0388,0.48
"51","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.0423,0.53
"52","IN_CH_STATE_PE_x_FC_LIBRARY",-0.0444,0.55
"53","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",-0.046,0.57
"54","IN_CH_RURAL_x_FC_INTERNET",-0.0469,0.59
"55","IN_CH_STATE_RO_x_FC_WATER_PUBLIC",-0.0522,0.65
"56","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.0535,0.67
"57","IN_CH_STATE_SE_x_FC_INTERNET",-0.0535,0.67
"58","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",-0.0539,0.67
"59","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.0551,0.69
"60","IN_CH_STATE_CE_x_FC_INTERNET",-0.0585,0.73
"61","IN_CH_STATE_RR_x_CH_SCHOOL_LARGE_SIZE",-0.0605,0.76
"62","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-0.0607,0.76
"63","IN_CH_RURAL_x_FC_LIBRARY",-0.063,0.79
"64","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.0659,0.82
"65","IN_CH_MUNICIPAL_x_FC_COMPUTER",-0.0675,0.84
"66","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",-0.069,0.86
"67","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.0703,0.88
"68","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",-0.0771,0.96
"69","IN_CH_STATE_PA_x_CH_PRIVATE",-0.0778,0.97
"70","IN_CH_STATE_TO_x_FC_ELECTR_PUBLIC",-0.0815,1.02
"71","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.0845,1.05
"72","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.0852,1.06
"73","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.0927,1.16
"74","IN_CH_STATE_RS_x_CH_PRIVATE",-0.0936,1.17
"75","IN_CH_STATE_AP_x_FC_ANTENNA_EQUIPMENT",-0.0964,1.2
"76","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.1012,1.26
"77","IN_CH_STATE_SE_x_CH_URBAN",-0.1023,1.28
"78","IN_CH_STATE_BA_x_FC_LIBRARY",-0.1029,1.28
"79","IN_CH_STATE_CE_x_FC_LIBRARY",-0.1067,1.33
"80","IN_CH_STATE_RR_x_CH_STATE",-0.1127,1.41
"81","IN_CH_STATE_SC_x_CH_RURAL",-0.1145,1.43
"82","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",-0.1157,1.44
"83","IN_CH_STATE_PA_x_FC_LIBRARY",-0.1175,1.47
"84","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.1209,1.51
"85","IN_CH_STATE_PB_x_FC_LIBRARY",-0.1266,1.58
