"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",15.9193,-10.21
"2","IN_CH_STATE_RO_x_CH_FEDERAL",7.846,-5.03
"3","IN_CH_STATE_ES_x_CH_FEDERAL",6.6411,-4.26
"4","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",4.1701,-2.68
"5","IN_CH_STATE_RN_x_CH_FEDERAL",2.3441,-1.5
"6","IN_CH_FEDERAL_x_FC_INTERNET",1.5901,-1.02
"7","IN_CH_PRIVATE_x_FC_INTERNET",1.3451,-0.86
"8","IN_CH_STATE_MA_x_CH_STATE",1.2536,-0.8
"9","IN_CH_URBAN_x_FC_COMPUTER",1.08,-0.69
"10","IN_CH_STATE_RS_x_CH_RURAL",1.037,-0.67
"11","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.9377,-0.6
"12","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.8156,-0.52
"13","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.7249,-0.47
"14","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.6553,-0.42
"15","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.6553,-0.42
"16","IN_CH_STATE_SP_x_CH_RURAL",0.6091,-0.39
"17","IN_CH_STATE_PR_x_CH_RURAL",0.5917,-0.38
"18","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.5548,-0.36
"19","IN_CH_RURAL_x_FC_LIBRARY",0.5502,-0.35
"20","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.543,-0.35
"21","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.5171,-0.33
"22","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.4609,-0.3
"23","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.4232,-0.27
"24","IN_CH_PRIVATE_x_FC_LIBRARY",0.3822,-0.25
"25","IN_CH_STATE_MG_x_CH_RURAL",0.3345,-0.21
"26","FC_INTERNET",0.3267,-0.21
"27","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.3136,-0.2
"28","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.3135,-0.2
"29","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.292,-0.19
"30","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.286,-0.18
"31","IN_CH_STATE_RJ_x_CH_RURAL",0.2479,-0.16
"32","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.2393,-0.15
"33","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2282,-0.15
"34","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.2252,-0.14
"35","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.2188,-0.14
"36","IN_CH_STATE_SC_x_CH_RURAL",0.2159,-0.14
"37","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.1779,-0.11
"38","IN_CH_STATE_SP_x_CH_PRIVATE",0.1645,-0.11
"39","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.1633,-0.1
"40","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.1555,-0.1
"41","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.1056,-0.07
"42","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.0876,-0.06
"43","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.0867,-0.06
"44","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.0863,-0.06
"45","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",0.0834,-0.05
"46","FC_WATER_PUBLIC",0.0716,-0.05
"47","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.0675,-0.04
"48","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0567,-0.04
"49","IN_CH_STATE_ES_x_CH_PRIVATE",0.0524,-0.03
"50","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0454,-0.03
"51","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0441,-0.03
"52","FC_WATER",0.0384,-0.02
"53","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.0342,-0.02
"54","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0198,-0.01
"55","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0043,0
"56","FC_ROOMS_USED",0.003,0
"57","FC_ROOMS_AVAILABLE",0.0024,0
"58","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.002,0
"59","FC_NUMBER_COMPUTERS",0.0013,0
"60","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",-0.0012,0
"61","IN_CH_STATE_AL_x_FC_COMPUTER",-0.0128,0.01
"62","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",-0.0454,0.03
"63","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.0484,0.03
"64","IN_CH_STATE_PE_x_CH_MUNICIPAL",-0.0511,0.03
"65","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",-0.0517,0.03
"66","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.0658,0.04
"67","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-0.0725,0.05
"68","IN_CH_STATE_PB_x_CH_URBAN",-0.0728,0.05
"69","IN_CH_STATE_AM_x_FC_COMPUTER",-0.0755,0.05
"70","IN_CH_STATE_CE_x_CH_RURAL",-0.0761,0.05
"71","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",-0.0848,0.05
"72","IN_CH_STATE_TO_x_CH_RURAL",-0.0861,0.06
"73","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",-0.0905,0.06
"74","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.098,0.06
"75","IN_CH_STATE_BA_x_CH_PRIVATE",-0.0992,0.06
"76","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.1127,0.07
"77","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.1239,0.08
"78","IN_CH_STATE_CE_x_CH_MUNICIPAL",-0.127,0.08
"79","IN_CH_STATE_AL_x_FC_INTERNET",-0.1305,0.08
"80","IN_CH_STATE_RR_x_CH_MUNICIPAL",-0.1307,0.08
"81","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",-0.1394,0.09
"82","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.1486,0.1
"83","IN_CH_STATE_SE_x_CH_RURAL",-0.1976,0.13
"84","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.2167,0.14
"85","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.2263,0.15
"86","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",-0.2461,0.16
