"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_FEDERAL",6.4774,1.92
"2","IN_CH_STATE_PI_x_CH_PRIVATE",3.9167,1.16
"3","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.5825,1.06
"4","IN_CH_STATE_AM_x_CH_STATE",3.2675,0.97
"5","IN_CH_STATE_PB_x_CH_PRIVATE",2.6819,0.8
"6","IN_CH_STATE_BA_x_CH_STATE",1.762,0.52
"7","IN_CH_STATE_RN_x_CH_PRIVATE",1.4745,0.44
"8","IN_CH_STATE_MA_x_FC_INTERNET",1.2818,0.38
"9","IN_CH_STATE_PA_x_CH_STATE",0.9993,0.3
"10","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.8981,0.27
"11","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.8134,0.24
"12","IN_CH_STATE_RN_x_CH_RURAL",0.7952,0.24
"13","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.7452,0.22
"14","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.7326,0.22
"15","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.723,0.21
"16","IN_CH_STATE_SE_x_CH_RURAL",0.7115,0.21
"17","IN_CH_STATE_MA_x_CH_URBAN",0.6622,0.2
"18","STR_TEACHERS_SECONDARY_FUNDEDU",0.6588,0.2
"19","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.6216,0.18
"20","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.6164,0.18
"21","IN_CH_MUNICIPAL_x_FC_SEWAGE",0.5518,0.16
"22","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.4117,0.12
"23","IN_CH_STATE_BA_x_CH_PRIVATE",0.3857,0.11
"24","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.3537,0.11
"25","IN_CH_STATE_ES_x_CH_RURAL",0.3253,0.1
"26","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.2511,0.07
"27","IN_CH_STATE_CE_x_CH_RURAL",0.1892,0.06
"28","IN_CH_STATE_PE_x_CH_RURAL",0.1861,0.06
"29","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.1836,0.05
"30","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1697,0.05
"31","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.1475,0.04
"32","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.1259,0.04
"33","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.1116,0.03
"34","IN_CH_STATE_AL_x_FC_COMPUTER",0.1082,0.03
"35","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",0.0793,0.02
"36","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",0.0747,0.02
"37","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.0739,0.02
"38","IN_CH_STATE_BA_x_CH_URBAN",0.0648,0.02
"39","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.0411,0.01
"40","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.0231,0.01
"41","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.0094,0
"42","IN_CH_STATE_AM_x_FC_COMPUTER",0.0011,0
"43","IN_CH_STATE_x_FC_ELECTR",-4e-04,0
"44","FC_NUMBER_COMPUTERS",-0.005,0
"45","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0096,0
"46","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.0183,-0.01
"47","FC_ROOMS_AVAILABLE",-0.0262,-0.01
"48","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.0279,-0.01
"49","FC_WATER",-0.0374,-0.01
"50","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.0421,-0.01
"51","FC_COMPUTER",-0.1231,-0.04
"52","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.1232,-0.04
"53","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.1235,-0.04
"54","FC_COMPUTER_LAB",-0.1255,-0.04
"55","IN_CH_PRIVATE_x_FC_LIBRARY",-0.1408,-0.04
"56","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.2112,-0.06
"57","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.2176,-0.06
"58","IN_CH_STATE_RO_x_FC_LIBRARY",-0.2276,-0.07
"59","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.2616,-0.08
"60","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.2689,-0.08
"61","FC_WATER_PUBLIC",-0.2955,-0.09
"62","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.3162,-0.09
"63","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.3218,-0.1
"64","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.4026,-0.12
"65","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.4151,-0.12
"66","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.4196,-0.12
"67","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.4416,-0.13
"68","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.445,-0.13
"69","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.4466,-0.13
"70","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-0.4629,-0.14
"71","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.4631,-0.14
"72","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.4948,-0.15
"73","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",-0.517,-0.15
"74","IN_CH_STATE_PR_x_CH_RURAL",-0.5294,-0.16
"75","IN_CH_STATE_SC_x_CH_RURAL",-0.589,-0.17
"76","FC_INTERNET",-0.6439,-0.19
"77","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",-0.7485,-0.22
"78","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.7508,-0.22
"79","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",-0.7769,-0.23
"80","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.8555,-0.25
"81","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-0.9611,-0.29
"82","IN_CH_STATE_SP_x_CH_PRIVATE",-1.0187,-0.3
"83","STR_TEACHERS_INCOMPLETE_FUNDEDU",-1.1594,-0.34
"84","IN_CH_RURAL_x_FC_LIBRARY",-1.2984,-0.39
"85","IN_CH_STATE_RJ_x_CH_RURAL",-1.3023,-0.39
"86","IN_CH_STATE_MG_x_CH_RURAL",-1.3602,-0.4
"87","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-1.4074,-0.42
"88","IN_CH_STATE_SP_x_CH_RURAL",-1.5801,-0.47
"89","IN_CH_STATE_x_FC_ELECTR_PUBLIC",-1.6194,-0.48
"90","IN_CH_STATE_PR_x_CH_MUNICIPAL",-1.6388,-0.49
"91","IN_CH_URBAN_x_FC_COMPUTER",-1.7752,-0.53
"92","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-1.9386,-0.58
"93","IN_CH_STATE_RS_x_CH_RURAL",-2.0131,-0.6
"94","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-2.1482,-0.64
"95","IN_CH_PRIVATE_x_FC_INTERNET",-3.0208,-0.9
"96","IN_CH_STATE_MA_x_CH_STATE",-3.6032,-1.07
"97","IN_CH_STATE_RN_x_CH_FEDERAL",-5.2298,-1.55
"98","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-7.3301,-2.18
"99","IN_CH_STATE_ES_x_CH_FEDERAL",-9.795,-2.91
"100","IN_CH_STATE_CE_x_CH_FEDERAL",-9.9014,-2.94
"101","IN_CH_STATE_PE_x_CH_FEDERAL",-66.2397,-19.68
