"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",41.3703,148.51
"2","IN_CH_STATE_CE_x_CH_FEDERAL",9.0956,32.65
"3","IN_CH_STATE_AM_x_CH_FEDERAL",5.9385,21.32
"4","IN_CH_STATE_RN_x_CH_FEDERAL",5.5269,19.84
"5","IN_CH_STATE_PB_x_CH_FEDERAL",3.7576,13.49
"6","IN_CH_STATE_BA_x_CH_FEDERAL",2.4048,8.63
"7","IN_CH_STATE_RS_x_CH_PRIVATE",1.6384,5.88
"8","IN_CH_STATE_MA_x_CH_STATE",1.3656,4.9
"9","IN_CH_STATE_AP_x_CH_FEDERAL",1.3297,4.77
"10","IN_CH_STATE_RJ_x_CH_RURAL",0.9831,3.53
"11","IN_CH_STATE_SP_x_CH_RURAL",0.8778,3.15
"12","IN_CH_STATE_MG_x_CH_RURAL",0.8137,2.92
"13","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.7995,2.87
"14","IN_CH_STATE_PI_x_FC_LIBRARY",0.6229,2.24
"15","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.5342,1.92
"16","IN_CH_STATE_PE_x_CH_PRIVATE",0.5328,1.91
"17","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.5214,1.87
"18","IN_CH_STATE_AP_x_FC_ANTENNA_EQUIPMENT",0.5078,1.82
"19","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.4694,1.69
"20","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.4629,1.66
"21","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.4538,1.63
"22","IN_CH_STATE_PB_x_FC_LIBRARY",0.4399,1.58
"23","IN_CH_STATE_PA_x_CH_PRIVATE",0.4349,1.56
"24","IN_CH_STATE_PA_x_FC_LIBRARY",0.3866,1.39
"25","IN_CH_STATE_SE_x_FC_INTERNET",0.379,1.36
"26","IN_CH_STATE_RO_x_FC_ANTENNA_EQUIPMENT",0.3765,1.35
"27","IN_CH_STATE_ES_x_FC_ANTENNA_EQUIPMENT",0.3664,1.32
"28","IN_CH_STATE_SC_x_CH_RURAL",0.3603,1.29
"29","IN_CH_STATE_PA_x_CH_FEDERAL",0.3581,1.29
"30","IN_CH_STATE_RR_x_CH_STATE",0.3581,1.29
"31","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.3512,1.26
