"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RR_x_CH_FEDERAL",10.9717,2.91
"2","IN_CH_STATE_PI_x_CH_FEDERAL",10.7997,2.86
"3","IN_CH_STATE_PI_x_CH_PRIVATE",4.301,1.14
"4","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.7581,1
"5","IN_CH_STATE_RN_x_CH_PRIVATE",3.208,0.85
"6","IN_CH_STATE_PB_x_CH_PRIVATE",3.1891,0.85
"7","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",2.8482,0.76
"8","IN_CH_STATE_BA_x_CH_STATE",2.434,0.65
"9","IN_CH_STATE_AM_x_CH_STATE",2.3897,0.63
"10","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.8364,0.49
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.3581,0.36
"12","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.3482,0.36
"13","IN_CH_STATE_ES_x_CH_RURAL",1.1948,0.32
"14","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",1.1644,0.31
"15","IN_CH_STATE_MA_x_FC_INTERNET",1.1097,0.29
"16","IN_CH_STATE_RN_x_CH_RURAL",0.9703,0.26
"17","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.9684,0.26
"18","IN_CH_STATE_TO_x_CH_PRIVATE",0.9198,0.24
"19","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.9171,0.24
"20","STR_TEACHERS_SECONDARY_FUNDEDU",0.8181,0.22
"21","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.7905,0.21
"22","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.7806,0.21
"23","IN_CH_STATE_MA_x_CH_URBAN",0.753,0.2
"24","IN_CH_STATE_BA_x_CH_URBAN",0.6779,0.18
"25","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.6702,0.18
"26","IN_CH_STATE_AL_x_FC_INTERNET",0.6425,0.17
"27","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.5343,0.14
"28","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.529,0.14
"29","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.4884,0.13
"30","IN_CH_STATE_BA_x_CH_PRIVATE",0.4773,0.13
"31","IN_CH_STATE_PA_x_CH_STATE",0.4631,0.12
"32","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.4501,0.12
"33","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.4289,0.11
"34","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.399,0.11
"35","IN_CH_STATE_PB_x_FC_LIBRARY",0.3483,0.09
"36","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.347,0.09
"37","IN_CH_STATE_AM_x_FC_COMPUTER",0.3146,0.08
"38","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.2907,0.08
"39","IN_CH_STATE_BA_x_FC_LIBRARY",0.2881,0.08
"40","IN_CH_STATE_PA_x_FC_COMPUTER_LAB",0.2726,0.07
"41","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.2677,0.07
"42","IN_CH_STATE_SE_x_CH_RURAL",0.2606,0.07
"43","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.2572,0.07
"44","IN_CH_STATE_CE_x_FC_COMPUTER",0.2537,0.07
"45","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.2332,0.06
"46","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.2051,0.05
"47","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1476,0.04
"48","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.144,0.04
"49","IN_CH_MUNICIPAL_x_FC_SEWAGE",0.111,0.03
"50","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.0837,0.02
"51","IN_CH_STATE_BA_x_FC_COMPUTER",0.0808,0.02
"52","IN_CH_STATE_PB_x_CH_URBAN",0.0523,0.01
"53","IN_CH_STATE_CE_x_CH_RURAL",0.0515,0.01
"54","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.0297,0.01
"55","IN_CH_STATE_TO_x_CH_RURAL",0.0254,0.01
"56","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.0162,0
"57","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.0068,0
"58","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.0028,0
"59","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"60","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0011,0
"61","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-0.0016,0
"62","FC_ROOMS_AVAILABLE",-0.006,0
"63","FC_NUMBER_COMPUTERS",-0.0065,0
"64","CH_CLASSES_FUNDAMENTAL_EDU",-0.0101,0
"65","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",-0.0114,0
"66","FC_ROOMS_USED",-0.0124,0
"67","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.0129,0
"68","IN_CH_STATE_SC_x_CH_RURAL",-0.0179,0
"69","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.0359,-0.01
"70","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.0373,-0.01
"71","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0473,-0.01
"72","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",-0.0648,-0.02
"73","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.074,-0.02
"74","FC_WATER_PUBLIC",-0.0806,-0.02
"75","IN_CH_STATE_MA_x_CH_RURAL",-0.0947,-0.03
"76","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-0.1029,-0.03
"77","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.1164,-0.03
"78","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-0.1176,-0.03
"79","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.1381,-0.04
"80","IN_CH_STATE_SP_x_CH_FUNDAMENTAL_EDU_I",-0.2156,-0.06
"81","FC_COMPUTER_LAB",-0.2509,-0.07
"82","FC_INTERNET",-0.2548,-0.07
"83","IN_CH_STATE_PR_x_CH_RURAL",-0.2573,-0.07
"84","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.2669,-0.07
"85","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.2864,-0.08
"86","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.3073,-0.08
"87","IN_CH_STATE_MG_x_CH_RURAL",-0.3162,-0.08
"88","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.32,-0.08
"89","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.3318,-0.09
"90","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.3643,-0.1
"91","IN_CH_STATE_x_FC_ELECTR_PUBLIC",-0.3709,-0.1
"92","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-0.3745,-0.1
"93","IN_CH_STATE_ES_x_CH_PRIVATE",-0.4343,-0.12
"94","IN_CH_STATE_SP_x_CH_RURAL",-0.4799,-0.13
"95","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.4946,-0.13
"96","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.5021,-0.13
