"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",45.2908,-23.99
"2","IN_CH_STATE_CE_x_CH_FEDERAL",8.7368,-4.63
"3","IN_CH_STATE_RN_x_CH_FEDERAL",6.7775,-3.59
"4","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",4.5809,-2.43
"5","IN_CH_STATE_MA_x_CH_STATE",2.3071,-1.22
"6","IN_CH_STATE_ES_x_CH_FEDERAL",2.2574,-1.2
"7","IN_CH_URBAN_x_FC_TV_EQUIPMENT",1.578,-0.84
"8","IN_CH_STATE_SP_x_CH_RURAL",1.3438,-0.71
"9","IN_CH_STATE_RJ_x_CH_RURAL",1.1658,-0.62
"10","IN_CH_PRIVATE_x_FC_INTERNET",1.1627,-0.62
"11","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",1.1523,-0.61
"12","IN_CH_STATE_PR_x_CH_MUNICIPAL",1.0779,-0.57
"13","IN_CH_STATE_MG_x_CH_RURAL",1.0216,-0.54
"14","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.9555,-0.51
"15","IN_CH_STATE_RS_x_CH_RURAL",0.9449,-0.5
"16","IN_CH_STATE_SP_x_CH_PRIVATE",0.7983,-0.42
"17","IN_CH_RURAL_x_FC_LIBRARY",0.7167,-0.38
"18","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.6876,-0.36
"19","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.6197,-0.33
"20","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.6126,-0.32
"21","IN_CH_STATE_SC_x_CH_PRIVATE",0.6046,-0.32
"22","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.5535,-0.29
"23","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.5521,-0.29
"24","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.5425,-0.29
"25","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.4309,-0.23
"26","IN_CH_URBAN_x_FC_COMPUTER",0.4048,-0.21
"27","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.3952,-0.21
"28","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.3733,-0.2
"29","IN_CH_STATE_x_FC_ELECTR",0.3662,-0.19
"30","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.3387,-0.18
"31","IN_CH_STATE_SC_x_CH_RURAL",0.3126,-0.17
"32","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.3112,-0.16
"33","FC_COMPUTER",0.3091,-0.16
"34","IN_CH_PRIVATE_x_FC_LIBRARY",0.3089,-0.16
"35","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.3078,-0.16
"36","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.2856,-0.15
"37","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.2764,-0.15
"38","IN_CH_STATE_RO_x_FC_LIBRARY",0.241,-0.13
"39","IN_CH_STATE_RN_x_CH_STATE",0.2373,-0.13
"40","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.234,-0.12
"41","FC_INTERNET",0.2274,-0.12
"42","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.2008,-0.11
"43","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.1956,-0.1
"44","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.1945,-0.1
"45","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.1673,-0.09
"46","IN_CH_STATE_PR_x_CH_PRIVATE",0.1539,-0.08
"47","IN_CH_STATE_ES_x_FC_INTERNET",0.1496,-0.08
"48","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1409,-0.07
"49","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.1399,-0.07
"50","IN_CH_STATE_TO_x_FC_WATER_PUBLIC",0.1248,-0.07
"51","FC_WATER_PUBLIC",0.1216,-0.06
"52","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1112,-0.06
"53","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.1084,-0.06
"54","FC_WATER",0.1054,-0.06
"55","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.1015,-0.05
"56","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0695,-0.04
"57","IN_CH_STATE_ES_x_FC_LIBRARY",0.0685,-0.04
"58","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0658,-0.03
"59","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.0504,-0.03
"60","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0464,-0.02
"61","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.044,-0.02
"62","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.0341,-0.02
"63","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0311,-0.02
"64","IN_CH_STATE_RS_x_CH_PRIVATE",0.0299,-0.02
"65","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE_PUBLIC",0.028,-0.01
"66","FC_ROOMS_AVAILABLE",0.0208,-0.01
"67","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0194,-0.01
"68","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",0.0126,-0.01
"69","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0095,-0.01
"70","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.0062,0
"71","FC_NUMBER_COMPUTERS",0.0029,0
"72","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",6e-04,0
"73","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",4e-04,0
"74","IN_CH_STATE_AM_x_FC_COMPUTER",-9e-04,0
"75","IN_CH_STATE_CE_x_CH_RURAL",-0.0039,0
"76","IN_CH_STATE_AL_x_CH_MUNICIPAL",-0.0082,0
"77","IN_CH_STATE_AL_x_FC_TV_EQUIPMENT",-0.0515,0.03
"78","IN_CH_STATE_AL_x_FC_COMPUTER",-0.0535,0.03
"79","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-0.0551,0.03
"80","IN_CH_STATE_ES_x_CH_RURAL",-0.0795,0.04
"81","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0819,0.04
"82","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.0899,0.05
"83","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",-0.0929,0.05
"84","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",-0.0944,0.05
"85","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",-0.1231,0.07
"86","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",-0.1313,0.07
"87","IN_CH_STATE_BA_x_CH_PRIVATE",-0.1331,0.07
