"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RJ_x_CH_FEDERAL",3.92,-7.86
"2","IN_CH_STATE_ES_x_CH_FEDERAL",3.5648,-7.14
"3","IN_CH_STATE_SE_x_CH_FEDERAL",3.2674,-6.55
"4","IN_CH_FEDERAL_x_FC_LIBRARY",2.7013,-5.41
"5","IN_CH_FEDERAL_x_FC_HAS_SPORTS_QUAD",2.3604,-4.73
"6","IN_CH_STATE_RO_x_CH_FEDERAL",1.6468,-3.3
"7","IN_CH_STATE_AM_x_CH_PRIVATE",1.3244,-2.65
"8","IN_CH_STATE_RR_x_CH_PRIVATE",0.9396,-1.88
"9","IN_CH_PRIVATE_x_FC_INTERNET",0.8055,-1.61
"10","IN_CH_STATE_AC_x_CH_PRIVATE",0.728,-1.46
"11","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.6762,-1.36
"12","IN_CH_STATE_x_FC_COMPUTER",0.5259,-1.05
"13","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.4949,-0.99
"14","IN_CH_URBAN_x_FC_INTERNET",0.4428,-0.89
"15","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.4168,-0.84
"16","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",0.3785,-0.76
"17","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.3375,-0.68
"18","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",0.3199,-0.64
"19","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.2922,-0.59
"20","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",0.2763,-0.55
"21","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",0.2677,-0.54
"22","IN_CH_PRIVATE_x_FC_LIBRARY",0.215,-0.43
"23","IN_CH_STATE_RO_x_FC_HAS_SPORTS_QUAD",0.2118,-0.42
"24","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.2071,-0.42
"25","IN_CH_STATE_PR_x_CH_RURAL",0.1924,-0.39
"26","IN_CH_URBAN_x_FC_COMPUTER",0.1865,-0.37
"27","IN_CH_STATE_SP_x_FC_WATER_PUBLIC",0.181,-0.36
"28","IN_CH_STATE_RS_x_FC_LIBRARY",0.1783,-0.36
"29","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.1763,-0.35
"30","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.169,-0.34
"31","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.1414,-0.28
"32","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",0.133,-0.27
"33","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.13,-0.26
"34","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.1267,-0.25
"35","IN_CH_STATE_RS_x_CH_RURAL",0.1246,-0.25
"36","IN_CH_STATE_SC_x_FC_COMPUTER",0.1195,-0.24
"37","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.1169,-0.23
"38","IN_CH_STATE_SC_x_FC_LIBRARY",0.1155,-0.23
