"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",34.2414,-14.38
"2","IN_CH_STATE_ES_x_CH_FEDERAL",7.3739,-3.1
"3","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",5.9696,-2.51
"4","IN_CH_STATE_RO_x_CH_FEDERAL",5.7666,-2.42
"5","IN_CH_STATE_CE_x_CH_FEDERAL",3.1084,-1.31
"6","IN_CH_STATE_RN_x_CH_FEDERAL",3.074,-1.29
"7","IN_CH_STATE_MA_x_CH_STATE",2.4472,-1.03
"8","IN_CH_PRIVATE_x_FC_INTERNET",2.4157,-1.01
"9","IN_CH_URBAN_x_FC_COMPUTER",1.439,-0.6
"10","IN_CH_STATE_PR_x_CH_MUNICIPAL",1.4156,-0.59
"11","IN_CH_STATE_RS_x_CH_RURAL",1.2474,-0.52
"12","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",1.1323,-0.48
"13","IN_CH_STATE_SP_x_CH_PRIVATE",0.9212,-0.39
"14","IN_CH_STATE_SP_x_CH_RURAL",0.8258,-0.35
"15","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.8201,-0.34
"16","IN_CH_RURAL_x_FC_LIBRARY",0.7883,-0.33
"17","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.746,-0.31
"18","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.7108,-0.3
"19","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.6936,-0.29
"20","IN_CH_STATE_MG_x_CH_RURAL",0.6803,-0.29
"21","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.6745,-0.28
"22","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.5847,-0.25
"23","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.5827,-0.24
"24","IN_CH_STATE_RJ_x_CH_RURAL",0.5776,-0.24
"25","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.5392,-0.23
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.5266,-0.22
"27","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.4746,-0.2
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.4644,-0.19
"29","FC_INTERNET",0.3836,-0.16
"30","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.3731,-0.16
"31","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.3679,-0.15
"32","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.3644,-0.15
"33","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.3443,-0.14
"34","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.2925,-0.12
"35","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2715,-0.11
"36","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.2667,-0.11
"37","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.2494,-0.1
"38","IN_CH_STATE_SC_x_CH_RURAL",0.239,-0.1
"39","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.2327,-0.1
"40","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.2279,-0.1
"41","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.2254,-0.09
"42","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.2134,-0.09
"43","IN_CH_PRIVATE_x_FC_LIBRARY",0.2118,-0.09
"44","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.2056,-0.09
"45","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.1972,-0.08
"46","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1619,-0.07
"47","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.1402,-0.06
"48","IN_CH_STATE_RO_x_FC_LIBRARY",0.1339,-0.06
"49","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.1295,-0.05
"50","FC_COMPUTER_LAB",0.1129,-0.05
"51","FC_WATER_PUBLIC",0.1037,-0.04
