"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_INTERNET",36.8743,14.48
"2","FC_WATER",18.2553,7.17
"3","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",13.1283,5.15
"4","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",10.1897,4
"5","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",10.1716,3.99
"6","IN_CH_MUNICIPAL_x_FC_SEWAGE",6.0122,2.36
"7","IN_CH_MUNICIPAL_x_FC_WATER",4.9878,1.96
"8","FC_SCIENCE_LAB",4.9639,1.95
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",3.9321,1.54
"10","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",3.828,1.5
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",3.4514,1.35
"12","FC_HAS_SPORTS_QUAD",3.2988,1.3
"13","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",3.196,1.25
"14","IN_CH_URBAN_x_FC_SCIENCE_LAB",2.5477,1
"15","IN_CH_RURAL_x_FC_COMPUTER_LAB",2.424,0.95
"16","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",2.3809,0.93
"17","STR_TEACHERS_SECONDARY_FUNDEDU",1.3065,0.51
"18","CH_FUNDAMENTAL_EDU_T",1.1177,0.44
"19","IN_CH_RURAL_x_FC_INTERNET",0.9729,0.38
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.7087,0.28
"21","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.5106,0.2
"22","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.2793,0.11
"23","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.1147,0.05
"24","FC_ROOMS_USED",0.0827,0.03
"25","CLASS_SIZE",0.0271,0.01
"26","FC_NUMBER_COMPUTERS",-2e-04,0
"27","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",-5e-04,0
"28","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0029,0
"29","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0214,-0.01
"30","FC_ROOMS_AVAILABLE",-0.0284,-0.01
"31","FC_NO_SPORTS_QUAD",-0.0452,-0.02
"32","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.1496,-0.06
"33","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.2531,-0.1
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-1.483,-0.58
"35","CH_SCHOOL_LARGE_SIZE",-1.6634,-0.65
"36","IN_CH_MUNICIPAL_x_FC_LIBRARY",-1.7371,-0.68
"37","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-2.322,-0.91
"38","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-2.3239,-0.91
"39","FC_ELECTR",-3.1083,-1.22
"40","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-3.6073,-1.42
"41","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-5.3626,-2.11
"42","STR_TEACHERS_INCOMPLETE_FUNDEDU",-6.6099,-2.6
"43","STR_TEACHERS_ONLY_FUNDEDU",-8.6295,-3.39
"44","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-10.0977,-3.96
"45","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-16.5804,-6.51
"46","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-83.7143,-32.87
