"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_INTERNET",13.7299,8.21
"2","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",13.3407,7.97
"3","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",12.1933,7.29
"4","IN_CH_MUNICIPAL_x_FC_WATER",9.3368,5.58
"5","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",8.3611,5
"6","FC_WATER",7.262,4.34
"7","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",7.0773,4.23
"8","IN_CH_MUNICIPAL_x_FC_SEWAGE",4.6128,2.76
"9","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",4.4968,2.69
"10","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",3.3965,2.03
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",3.1118,1.86
"12","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",2.3857,1.43
"13","IN_CH_PRIVATE_x_FC_SEWAGE",1.7784,1.06
"14","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",1.6386,0.98
"15","IN_CH_RURAL_x_FC_COMPUTER_LAB",1.4771,0.88
"16","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",1.0136,0.61
"17","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.992,0.59
"18","STR_TEACHERS_SECONDARY_FUNDEDU",0.9551,0.57
"19","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",0.7481,0.45
"20","IN_CH_RURAL_x_FC_INTERNET",0.3867,0.23
"21","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",0.2997,0.18
"22","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.152,0.09
"23","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.1174,0.07
"24","FC_ROOMS_USED",0.0289,0.02
"25","CH_FUNDAMENTAL_EDU_T",0.0158,0.01
"26","CLASS_SIZE",5e-04,0
"27","CH_MATRI_FUNDAMENTAL_EDU_T",-4e-04,0
"28","FC_ROOMS_AVAILABLE",-0.003,0
"29","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0328,-0.02
"30","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.1036,-0.06
"31","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.6488,-0.39
"32","IN_CH_RURAL_x_FC_LIBRARY",-0.7187,-0.43
"33","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.9958,-0.6
"34","CH_SCHOOL_LARGE_SIZE",-1.1665,-0.7
"35","FC_ELECTR",-1.1714,-0.7
"36","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-1.6962,-1.01
"37","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-1.7041,-1.02
"38","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-2.5839,-1.54
"39","STR_TEACHERS_INCOMPLETE_FUNDEDU",-3.3128,-1.98
"40","STR_TEACHERS_ONLY_FUNDEDU",-5.8005,-3.47
"41","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-6.3756,-3.81
"42","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-49.6366,-29.66
