"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_INTERNET",19.6744,7.37
"2","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",10.8931,4.08
"3","IN_CH_MUNICIPAL_x_FC_WATER",9.617,3.6
"4","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",9.4398,3.54
"5","FC_WATER",9.018,3.38
"6","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",8.1327,3.05
"7","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",5.4048,2.02
"8","IN_CH_MUNICIPAL_x_FC_SEWAGE",5.0735,1.9
"9","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",4.9931,1.87
"10","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",4.3231,1.62
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",3.2749,1.23
"12","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",2.7003,1.01
"13","IN_CH_RURAL_x_FC_COMPUTER_LAB",1.8061,0.68
"14","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",1.7999,0.67
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",1.1969,0.45
"16","IN_CH_URBAN_x_FC_SCIENCE_LAB",1.1339,0.42
"17","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",1.0904,0.41
"18","STR_TEACHERS_SECONDARY_FUNDEDU",0.9796,0.37
"19","IN_CH_RURAL_x_FC_INTERNET",0.8658,0.32
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.7891,0.3
"21","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",0.7535,0.28
"22","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1759,0.07
"23","IN_CH_PRIVATE_x_FC_COMPUTER",0.1537,0.06
"24","FC_ROOMS_USED",0.0526,0.02
"25","CH_FUNDAMENTAL_EDU_T",0.0364,0.01
"26","CLASS_SIZE",0.0105,0
"27","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0014,0
"28","ST_FUND_EDU_TEACHERS",-0.0044,0
"29","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0118,0
"30","FC_ROOMS_AVAILABLE",-0.0142,-0.01
"31","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.1084,-0.04
"32","IN_CH_RURAL_x_FC_LIBRARY",-0.313,-0.12
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.4941,-0.19
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.5923,-0.22
"35","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.9882,-0.37
"36","CH_SCHOOL_LARGE_SIZE",-1.2525,-0.47
"37","IN_CH_MUNICIPAL_x_FC_LIBRARY",-1.3201,-0.49
"38","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-1.9289,-0.72
"39","FC_ELECTR",-1.9538,-0.73
"40","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-2.8222,-1.06
"41","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-4.0957,-1.53
"42","STR_TEACHERS_INCOMPLETE_FUNDEDU",-4.5551,-1.71
"43","STR_TEACHERS_ONLY_FUNDEDU",-6.7782,-2.54
"44","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-9.4953,-3.56
"45","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-59.0798,-22.13
