"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_INTERNET",14.2441,5.39
"2","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",12.0217,4.55
"3","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",9.4643,3.58
"4","FC_WATER",7.9547,3.01
"5","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",7.8364,2.97
"6","IN_CH_MUNICIPAL_x_FC_WATER",7.088,2.68
"7","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",6.8457,2.59
"8","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",4.5814,1.73
"9","IN_CH_MUNICIPAL_x_FC_SEWAGE",4.3019,1.63
"10","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",3.5453,1.34
"11","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",2.7433,1.04
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",2.6521,1
"13","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",2.2158,0.84
"14","IN_CH_RURAL_x_FC_COMPUTER_LAB",1.5761,0.6
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.8969,0.34
"16","STR_TEACHERS_SECONDARY_FUNDEDU",0.8935,0.34
"17","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.8879,0.34
"18","IN_CH_PRIVATE_x_FC_SEWAGE",0.8817,0.33
"19","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",0.8478,0.32
"20","IN_CH_RURAL_x_FC_INTERNET",0.5987,0.23
"21","IN_CH_URBAN_x_FC_SCIENCE_LAB",0.4104,0.16
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",0.3896,0.15
"23","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1147,0.04
"24","FC_ROOMS_USED",0.0397,0.02
"25","CLASS_SIZE",0.0109,0
"26","CH_MATRI_FUNDAMENTAL_EDU_T",-7e-04,0
"27","FC_ROOMS_AVAILABLE",-0.0119,0
"28","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0274,-0.01
"29","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.06,-0.02
"30","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.0995,-0.04
"31","IN_CH_RURAL_x_FC_LIBRARY",-0.2431,-0.09
"32","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.3663,-0.14
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.4128,-0.16
"34","CH_SCHOOL_LARGE_SIZE",-1.0534,-0.4
"35","IN_CH_MUNICIPAL_x_FC_LIBRARY",-1.1599,-0.44
"36","FC_ELECTR",-1.5665,-0.59
"37","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-1.634,-0.62
"38","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-2.1717,-0.82
"39","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-2.4076,-0.91
"40","STR_TEACHERS_INCOMPLETE_FUNDEDU",-3.481,-1.32
"41","STR_TEACHERS_ONLY_FUNDEDU",-5.4273,-2.05
"42","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-6.5581,-2.48
"43","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-49.6291,-18.78
