"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",8.3855,303.52
"2","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",6.9665,252.16
"3","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",3.1359,113.51
"4","IN_CH_FEDERAL_x_FC_ELECTR_PUBLIC",1.9458,70.43
"5","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",1.893,68.52
"6","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",1.6112,58.32
"7","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",1.5068,54.54
"8","STR_TEACHERS_ONLY_FUNDEDU",1.1678,42.27
"9","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.1117,40.24
"10","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",1.076,38.95
"11","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",1.0047,36.37
"12","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.866,31.35
"13","FC_ELECTR_PUBLIC",0.608,22.01
"14","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.4311,15.6
"15","FC_ELECTR",0.31,11.22
"16","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.3031,10.97
"17","IN_CH_RURAL_x_FC_SEWAGE",0.3028,10.96
"18","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.2754,9.97
"19","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.2707,9.8
"20","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.2167,7.84
"21","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.1901,6.88
"22","CH_SCHOOL_LARGE_SIZE",0.1255,4.54
"23","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0666,2.41
"24","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",0.0653,2.36
"25","IN_CH_MUNICIPAL_x_FC_COMPUTER_LAB",0.0512,1.85
"26","ST_TEACHER_EDUCATION_YEARS",0.0345,1.25
"27","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.0212,0.77
"28","FC_ROOMS_AVAILABLE",0.0062,0.22
"29","FC_NO_SPORTS_QUAD",0.0028,0.1
"30","IN_CH_MUNICIPAL_x_FC_COMPUTER",0.0025,0.09
"31","FC_NUMBER_COMPUTERS",7e-04,0.03
"32","CH_MATRI_FUNDAMENTAL_EDU_T",5e-04,0.02
"33","CLASS_STUDENT_TEACHER_RATIO",-0.0015,-0.05
"34","CH_CLASSES_FUNDAMENTAL_EDU_I",-0.0017,-0.06
"35","CLASS_SIZE",-0.0026,-0.09
"36","FC_ROOMS_USED",-0.0142,-0.51
"37","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.0252,-0.91
"38","IN_CH_RURAL_x_FC_INTERNET",-0.0628,-2.27
"39","FC_LIBRARY",-0.0659,-2.39
"40","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.0794,-2.87
"41","IN_CH_URBAN_x_FC_SCIENCE_LAB",-0.0835,-3.02
"42","IN_CH_URBAN_x_FC_LIBRARY",-0.0866,-3.13
"43","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.1087,-3.93
"44","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",-0.1512,-5.47
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE_PUBLIC",-0.1578,-5.71
"46","IN_CH_PRIVATE_x_FC_COMPUTER",-0.1778,-6.44
"47","CH_FUNDAMENTAL_EDU_T",-0.1986,-7.19
"48","FC_SEWAGE_PUBLIC",-0.2406,-8.71
"49","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-0.2678,-9.69
"50","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",-0.2727,-9.87
"51","IN_CH_RURAL_x_FC_COMPUTER_LAB",-0.306,-11.08
"52","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",-0.3175,-11.49
"53","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.3203,-11.59
"54","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.3457,-12.51
"55","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.3637,-13.16
"56","FC_SCIENCE_LAB",-0.4594,-16.63
"57","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",-0.5086,-18.41
"58","FC_ANTENNA_EQUIPMENT",-0.5114,-18.51
"59","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.7867,-28.48
"60","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.9478,-34.31
"61","FC_HAS_SPORTS_QUAD",-1.5086,-54.61
"62","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-1.5659,-56.68
"63","FC_WATER",-1.9241,-69.64
"64","IN_CH_FEDERAL_x_FC_INTERNET",-9.1007,-329.41
