"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.1422,-0.62
"2","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.1062,-0.46
"3","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.07,-0.3
"4","IN_CH_RURAL_x_FC_LIBRARY",0.0543,-0.24
"5","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.0433,-0.19
"6","FC_LIBRARY",0.0157,-0.07
"7","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.0031,-0.01
"8","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.0037,0.02
"9","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.0247,0.11
"10","IN_CH_PRIVATE_x_FC_WATER",-0.038,0.16
"11","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",-0.0411,0.18
"12","CH_FUNDAMENTAL_EDU_T",-0.061,0.26
"13","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.1524,0.66
"14","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.165,0.72
"15","CH_FUNDAMENTAL_EDU_I",-0.1763,0.76
"16","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-0.2239,0.97
"17","IN_CH_MUNICIPAL_x_FC_WATER",-0.4018,1.74
"18","CH_MUNICIPAL",-0.5172,2.24
"19","IN_CH_PRIVATE_x_FC_SEWAGE",-0.8751,3.79
