"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",16.3151,-16.31
"2","IN_CH_FEDERAL_x_FC_INTERNET",11.3173,-11.31
"3","FC_LIBRARY",3.4848,-3.48
"4","FC_WATER",2.9332,-2.93
"5","FC_ANTENNA_EQUIPMENT",2.7596,-2.76
"6","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",1.9042,-1.9
"7","FC_HAS_SPORTS_QUAD",1.6013,-1.6
"8","FC_SEWAGE_PUBLIC",1.1449,-1.14
"9","STR_TEACHERS_SECONDARY_FUNDEDU",0.5681,-0.57
"10","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.4944,-0.49
"11","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.3563,-0.36
"12","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.3227,-0.32
"13","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.3183,-0.32
"14","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.2935,-0.29
"15","FC_SCIENCE_LAB",0.2413,-0.24
"16","IN_CH_URBAN_x_FC_LIBRARY",0.241,-0.24
"17","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.1372,-0.14
"18","FC_SEWAGE",0.1225,-0.12
"19","FC_COMPUTER_LAB",0.0923,-0.09
"20","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0876,-0.09
"21","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.0725,-0.07
"22","FC_COMPUTER",0.049,-0.05
"23","CLASS_SIZE",0.0318,-0.03
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0164,-0.02
"25","FC_ROOMS_USED",0.0158,-0.02
"26","ST_FUND_EDU_TEACHERS",0.0153,-0.02
"27","ST_TOTAL_STAFF",8e-04,0
"28","CH_MATRI_FUNDAMENTAL_EDU_T",-4e-04,0
"29","CH_MATRI_FUNDAMENTAL_EDU",-7e-04,0
"30","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",-0.0018,0
"31","FC_NUMBER_COMPUTERS",-0.0027,0
"32","CLASS_STUDENT_TEACHER_RATIO",-0.0104,0.01
"33","FC_ROOMS_AVAILABLE",-0.0117,0.01
"34","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR",-0.0448,0.04
"35","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.0796,0.08
"36","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",-0.1071,0.11
"37","FC_NO_SPORTS_QUAD",-0.146,0.15
"38","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",-0.1494,0.15
"39","IN_CH_RURAL_x_FC_INTERNET",-0.1518,0.15
"40","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",-0.2855,0.29
"41","CH_SCHOOL_LARGE_SIZE",-0.3944,0.39
"42","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.4876,0.49
"43","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-0.6941,0.69
"44","CH_FUNDAMENTAL_EDU_I",-0.7048,0.7
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.7494,0.75
"46","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.8074,0.81
"47","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-1.2175,1.22
"48","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-1.4536,1.45
"49","STR_TEACHERS_ONLY_FUNDEDU",-1.496,1.5
"50","STR_TEACHERS_INCOMPLETE_FUNDEDU",-1.6807,1.68
"51","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",-2.0413,2.04
"52","IN_CH_PRIVATE_x_FC_ELECTR_PUBLIC",-2.3551,2.35
"53","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-2.509,2.51
"54","CH_MUNICIPAL",-2.6252,2.62
"55","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-2.9385,2.94
"56","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-3.0453,3.04
"57","IN_CH_MUNICIPAL_x_FC_LIBRARY",-4.1278,4.13
"58","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-4.5909,4.59
"59","IN_CH_PRIVATE_x_FC_LIBRARY",-4.9718,4.97
"60","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-14.2627,14.26
"61","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-23.6508,23.64
