"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_SEWAGE",0.7405,-3.14
"2","IN_CH_MUNICIPAL_x_FC_WATER",0.5554,-2.36
"3","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.4761,-2.02
"4","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.2335,-0.99
"5","IN_CH_MUNICIPAL_x_FC_SEWAGE",0.2106,-0.89
"6","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.1168,-0.5
"7","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.0941,-0.4
"8","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.0408,-0.17
"9","IN_CH_PRIVATE_x_FC_WATER",0.0365,-0.15
"10","STR_TEACHERS_SECONDARY_FUNDEDU",0.0346,-0.15
"11","CH_FUNDAMENTAL_EDU_I",0.0309,-0.13
"12","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.0154,-0.07
"13","FC_ANTENNA_EQUIPMENT",-0.003,0.01
"14","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.003,0.01
"15","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.0233,0.1
"16","STR_TEACHERS_ONLY_FUNDEDU",-0.0238,0.1
"17","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.0249,0.11
"18","FC_TV_EQUIPMENT",-0.0549,0.23
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.0552,0.23
"20","IN_CH_RURAL_x_FC_LIBRARY",-0.155,0.66
"21","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.1689,0.72
