"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_INTERNET",16.6695,-13.23
"2","FC_WATER",3.6068,-2.86
"3","FC_LIBRARY",3.1445,-2.49
"4","FC_ANTENNA_EQUIPMENT",2.2913,-1.82
"5","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",1.552,-1.23
"6","FC_HAS_SPORTS_QUAD",1.0784,-0.86
"7","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.9163,-0.73
"8","FC_SEWAGE_PUBLIC",0.8633,-0.68
"9","STR_TEACHERS_SECONDARY_FUNDEDU",0.6798,-0.54
"10","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.4011,-0.32
"11","FC_SEWAGE",0.3905,-0.31
"12","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.3769,-0.3
"13","IN_CH_URBAN_x_FC_LIBRARY",0.3043,-0.24
"14","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.3007,-0.24
"15","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.2842,-0.23
"16","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.2388,-0.19
"17","FC_ELECTR_PUBLIC",0.2344,-0.19
"18","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.2148,-0.17
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.1787,-0.14
"20","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.064,-0.05
"21","CLASS_SIZE",0.0429,-0.03
"22","ST_FUND_EDU_TEACHERS",0.0132,-0.01
"23","FC_ROOMS_USED",0.0109,-0.01
"24","FC_COMPUTER_LAB",0.0033,0
"25","FC_SCIENCE_LAB",4e-04,0
"26","ST_TOTAL_STAFF",2e-04,0
"27","CH_MATRI_FUNDAMENTAL_EDU",-6e-04,0
"28","CH_MATRI_FUNDAMENTAL_EDU_T",-6e-04,0
"29","FC_NUMBER_COMPUTERS",-0.0018,0
"30","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR",-0.0058,0
"31","FC_ROOMS_AVAILABLE",-0.0152,0.01
"32","CLASS_STUDENT_TEACHER_RATIO",-0.0175,0.01
"33","IN_CH_MUNICIPAL_x_FC_INTERNET",-0.0253,0.02
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",-0.0574,0.05
"35","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",-0.1937,0.15
"36","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.3019,0.24
"37","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",-0.3743,0.3
"38","CH_SCHOOL_LARGE_SIZE",-0.4534,0.36
"39","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.5332,0.42
"40","CH_FUNDAMENTAL_EDU_I",-0.5697,0.45
"41","FC_NO_SPORTS_QUAD",-0.5874,0.47
"42","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-0.5883,0.47
"43","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",-0.6021,0.48
"44","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.6668,0.53
"45","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-1.1936,0.95
"46","CH_MUNICIPAL",-1.3019,1.03
"47","IN_CH_PRIVATE_x_FC_ELECTR_PUBLIC",-1.6054,1.27
"48","STR_TEACHERS_INCOMPLETE_FUNDEDU",-1.8198,1.44
"49","STR_TEACHERS_ONLY_FUNDEDU",-2.2127,1.76
"50","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",-2.6249,2.08
"51","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-3.2035,2.54
"52","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-3.3585,2.66
"53","IN_CH_MUNICIPAL_x_FC_LIBRARY",-3.8874,3.08
"54","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-4.0009,3.17
"55","IN_CH_PRIVATE_x_FC_LIBRARY",-4.3257,3.43
"56","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-17.029,13.51
"57","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-21.1076,16.75
