"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",17.5414,27.5
"2","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",16.056,25.17
"3","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",4.2467,6.66
"4","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",4.1203,6.46
"5","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",3.808,5.97
"6","IN_CH_PRIVATE_x_FC_LIBRARY",3.4724,5.44
"7","IN_CH_MUNICIPAL_x_FC_LIBRARY",2.9946,4.7
"8","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",2.0097,3.15
"9","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",1.877,2.94
"10","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.6385,2.57
"11","STR_TEACHERS_ONLY_FUNDEDU",1.4321,2.25
"12","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",1.4149,2.22
"13","IN_CH_PRIVATE_x_FC_ELECTR_PUBLIC",1.3426,2.11
"14","CH_MUNICIPAL",1.268,1.99
"15","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.2657,1.98
"16","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",1.0083,1.58
"17","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",0.7829,1.23
"18","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.4192,0.66
"19","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.3927,0.62
"20","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.3263,0.51
"21","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR",0.2601,0.41
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",0.2406,0.38
"23","CH_SCHOOL_LARGE_SIZE",0.2104,0.33
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.1873,0.29
"25","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER_PUBLIC",0.171,0.27
"26","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.0999,0.16
"27","FC_NO_SPORTS_QUAD",0.0279,0.04
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",0.022,0.03
"29","CH_FUNDAMENTAL_EDU_I",0.0126,0.02
"30","FC_ROOMS_AVAILABLE",0.0118,0.02
"31","FC_NUMBER_COMPUTERS",0.002,0
"32","CLASS_STUDENT_TEACHER_RATIO",0.0019,0
"33","CH_MATRI_FUNDAMENTAL_EDU",6e-04,0
"34","CH_MATRI_FUNDAMENTAL_EDU_T",3e-04,0
"35","ST_TOTAL_STAFF",-0.001,0
"36","ST_FUND_EDU_TEACHERS",-0.011,-0.02
"37","FC_COMPUTER",-0.0169,-0.03
"38","FC_ROOMS_USED",-0.0173,-0.03
"39","CLASS_SIZE",-0.0181,-0.03
"40","FC_SEWAGE",-0.028,-0.04
"41","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",-0.0557,-0.09
"42","FC_COMPUTER_LAB",-0.1083,-0.17
"43","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",-0.1441,-0.23
"44","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.1598,-0.25
"45","IN_CH_URBAN_x_FC_LIBRARY",-0.2335,-0.37
"46","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.2348,-0.37
"47","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.4052,-0.64
"48","STR_TEACHERS_SECONDARY_FUNDEDU",-0.4465,-0.7
"49","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.5341,-0.84
"50","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-0.8081,-1.27
"51","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-1.3165,-2.06
"52","FC_SEWAGE_PUBLIC",-1.4615,-2.29
"53","FC_LIBRARY",-2.4502,-3.84
"54","FC_HAS_SPORTS_QUAD",-2.5513,-4
"55","FC_ANTENNA_EQUIPMENT",-2.652,-4.16
"56","FC_WATER",-3.2379,-5.08
"57","IN_CH_FEDERAL_x_FC_INTERNET",-11.724,-18.38
"58","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",-11.8226,-18.54
