"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_ONLY_FUNDEDU",0.0724,0.18
"2","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.0514,0.13
"3","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.0449,0.11
"4","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.0385,0.1
"5","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",0.0379,0.1
"6","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0272,0.07
"7","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE_PUBLIC",0.0064,0.02
"8","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.0044,0.01
"9","FC_ROOMS_AVAILABLE",0.001,0
"10","FC_ROOMS_USED",5e-04,0
"11","CLASS_SIZE",-0.0012,0
"12","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",-0.0023,-0.01
"13","STR_TEACHERS_SECONDARY_FUNDEDU",-0.018,-0.05
"14","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0186,-0.05
"15","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",-0.0956,-0.24
"16","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-0.1595,-0.4
"17","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-0.2716,-0.68
"18","IN_CH_FEDERAL_x_FC_ANTENNA_EQUIPMENT",-2.3006,-5.77
