"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",16.8714,15.7
"2","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",13.9846,13.01
"3","IN_CH_PRIVATE_x_FC_LIBRARY",3.5184,3.27
"4","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",3.3632,3.13
"5","IN_CH_MUNICIPAL_x_FC_LIBRARY",3.1777,2.96
"6","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",3.043,2.83
"7","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",2.7654,2.57
"8","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",2.25,2.09
"9","IN_CH_PRIVATE_x_FC_ELECTR_PUBLIC",1.6573,1.54
"10","STR_TEACHERS_ONLY_FUNDEDU",1.6074,1.5
"11","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.3721,1.28
"12","CH_MUNICIPAL",1.2693,1.18
"13","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.07,1
"14","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.9479,0.88
"15","CH_FUNDAMENTAL_EDU_I",0.5304,0.49
"16","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.4179,0.39
"17","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.3998,0.37
"18","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SCIENCE_LAB",0.3913,0.36
"19","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.3583,0.33
"20","CH_SCHOOL_LARGE_SIZE",0.3548,0.33
"21","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.2173,0.2
"22","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.1765,0.16
"23","FC_NO_SPORTS_QUAD",0.0194,0.02
"24","CLASS_STUDENT_TEACHER_RATIO",0.013,0.01
"25","IN_CH_MUNICIPAL_x_FC_INTERNET",0.0122,0.01
"26","FC_ROOMS_AVAILABLE",0.0105,0.01
"27","FC_NUMBER_COMPUTERS",0.0015,0
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",0.0011,0
"29","CH_MATRI_FUNDAMENTAL_EDU",6e-04,0
"30","CH_MATRI_FUNDAMENTAL_EDU_T",3e-04,0
"31","ST_TOTAL_STAFF",-5e-04,0
"32","FC_ROOMS_USED",-0.0065,-0.01
"33","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",-0.0081,-0.01
"34","ST_FUND_EDU_TEACHERS",-0.0111,-0.01
"35","CLASS_SIZE",-0.0338,-0.03
"36","FC_COMPUTER_LAB",-0.0525,-0.05
"37","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0723,-0.07
"38","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.0907,-0.08
"39","IN_CH_RURAL_x_FC_COMPUTER_LAB",-0.095,-0.09
"40","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.1852,-0.17
"41","IN_CH_URBAN_x_FC_LIBRARY",-0.191,-0.18
"42","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.2632,-0.24
"43","FC_SEWAGE",-0.301,-0.28
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",-0.3092,-0.29
"45","FC_ELECTR_PUBLIC",-0.3811,-0.35
"46","STR_TEACHERS_SECONDARY_FUNDEDU",-0.5375,-0.5
"47","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.579,-0.54
"48","FC_SEWAGE_PUBLIC",-0.692,-0.64
"49","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-1.1843,-1.1
"50","FC_HAS_SPORTS_QUAD",-1.5346,-1.43
"51","FC_ANTENNA_EQUIPMENT",-1.9072,-1.77
"52","FC_LIBRARY",-2.6208,-2.44
"53","FC_WATER",-3.1295,-2.91
"54","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",-5.7115,-5.31
"55","IN_CH_FEDERAL_x_FC_INTERNET",-12.2328,-11.38
