"","Variable","Coefficient","Coefficient/ATE"
"1","FC_WATER",1.5347,-56.97
"2","IN_CH_STATE_BA_x_CH_PRIVATE",0.7986,-29.64
"3","IN_CH_STATE_MG_x_CH_STATE",0.7824,-29.04
"4","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.4031,-14.96
"5","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.2138,-7.94
"6","IN_CH_STATE_MG_x_FC_COMPUTER",0.1047,-3.89
"7","IN_CH_STATE_RS_x_CH_RURAL",0.0899,-3.34
"8","CLASS_SIZE",0.0836,-3.1
"9","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",0.0715,-2.65
"10","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.0579,-2.15
"11","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.0325,-1.21
"12","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.0186,-0.69
"13","CH_MATRI_FUNDAMENTAL_EDU_T",0.001,-0.04
"14","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-0.0055,0.2
"15","IN_CH_STATE_SP_x_CH_STATE",-0.0243,0.9
"16","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.092,3.41
"17","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.0999,3.71
"18","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.138,5.12
"19","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.1417,5.26
"20","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",-0.166,6.16
"21","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.1834,6.81
"22","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.2295,8.52
"23","IN_CH_URBAN_x_FC_SCIENCE_LAB",-0.2301,8.54
"24","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_I",-0.2828,10.5
"25","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.2877,10.68
"26","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",-0.2888,10.72
"27","IN_CH_STATE_BA_x_CH_RURAL",-0.3621,13.44
"28","IN_CH_STATE_AL_x_FC_LIBRARY",-0.5492,20.39
"29","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.5973,22.17
"30","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",-0.608,22.57
"31","CH_STATE_AM",-0.6197,23
"32","IN_CH_STATE_AL_x_FC_COMPUTER",-0.6916,25.67
"33","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.9551,35.45
"34","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",-1.4763,54.8
"35","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-1.9281,71.57
"36","IN_CH_STATE_PA_x_CH_FEDERAL",-5.3503,198.6
"37","IN_CH_STATE_CE_x_CH_FEDERAL",-34.9255,1296.4
