"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",2.5554,-1.5
"2","IN_CH_STATE_RS_x_CH_RURAL",2.4523,-1.44
"3","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",2.1677,-1.27
"4","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.7212,-1.01
"5","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",1.5161,-0.89
"6","IN_CH_STATE_MG_x_CH_STATE",1.4905,-0.87
"7","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",1.3068,-0.77
"8","IN_CH_STATE_BA_x_CH_URBAN",1.2983,-0.76
"9","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.8289,-0.49
"10","IN_CH_STATE_MG_x_FC_COMPUTER",0.6857,-0.4
"11","CLASS_SIZE",0.4385,-0.26
"12","IN_CH_STATE_PA_x_CH_RURAL",0.4233,-0.25
"13","IN_CH_STATE_BA_x_CH_PRIVATE",0.3325,-0.19
"14","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.2732,-0.16
"15","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.237,-0.14
"16","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1638,-0.1
"17","IN_CH_STATE_RN_x_CH_STATE",0.127,-0.07
"18","IN_CH_STATE_SC_x_CH_RURAL",0.1269,-0.07
"19","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.1087,-0.06
"20","IN_CH_STATE_AL_x_CH_URBAN",0.0943,-0.06
"21","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.0416,-0.02
"22","IN_CH_MUNICIPAL_x_FC_WATER",0.0328,-0.02
"23","CH_MATRI_FUNDAMENTAL_EDU",0.0031,0
"24","CH_MATRI_FUNDAMENTAL_EDU_T",9e-04,0
"25","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.0103,0.01
"26","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.0599,0.04
"27","FC_ELECTR_PUBLIC",-0.0949,0.06
"28","FC_ELECTR",-0.0967,0.06
"29","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.1092,0.06
"30","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.1431,0.08
"31","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.2127,0.12
"32","FC_COMPUTER_LAB",-0.2312,0.14
"33","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.2407,0.14
"34","FC_INTERNET",-0.2517,0.15
"35","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.3172,0.19
"36","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.4622,0.27
"37","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.5399,0.32
"38","IN_CH_STATE_SP_x_CH_PRIVATE",-1.0973,0.64
"39","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-1.9609,1.15
