"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_BA_x_CH_PRIVATE",1.1895,-1.95
"2","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.0575,-1.73
"3","FC_WATER",0.9165,-1.5
"4","IN_CH_STATE_MG_x_CH_STATE",0.8163,-1.34
"5","IN_CH_STATE_RS_x_CH_RURAL",0.8157,-1.34
"6","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.5949,-0.98
"7","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.3895,-0.64
"8","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.384,-0.63
"9","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.3195,-0.52
"10","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.2283,-0.37
"11","IN_CH_STATE_MG_x_FC_COMPUTER",0.2062,-0.34
"12","IN_CH_STATE_RO_x_CH_URBAN",0.2003,-0.33
"13","CLASS_SIZE",0.1782,-0.29
"14","IN_CH_STATE_BA_x_CH_URBAN",0.1148,-0.19
"15","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.0106,-0.02
"16","CH_MATRI_FUNDAMENTAL_EDU_T",0.0013,0
"17","CH_MATRI_FUNDAMENTAL_EDU",6e-04,0
"18","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0047,0.01
"19","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",-0.0166,0.03
"20","IN_CH_STATE_AL_x_FC_COMPUTER",-0.0232,0.04
"21","FC_COMPUTER_LAB",-0.0935,0.15
"22","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.1402,0.23
"23","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.1845,0.3
"24","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.1921,0.32
"25","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.2062,0.34
"26","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_I",-0.2094,0.34
"27","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.24,0.39
"28","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.2566,0.42
"29","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.2731,0.45
"30","IN_CH_STATE_SP_x_CH_PRIVATE",-0.3173,0.52
"31","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-0.469,0.77
"32","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.5797,0.95
"33","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",-0.6312,1.04
