"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PR_x_CH_FEDERAL",3.0164,4.3
"2","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.5539,0.79
"3","IN_CH_STATE_SP_x_CH_FEDERAL",0.5383,0.77
"4","IN_CH_STATE_SP_x_CH_PRIVATE",0.2431,0.35
"5","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.1661,0.24
"6","IN_CH_STATE_RN_x_CH_PRIVATE",0.1462,0.21
"7","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.1262,0.18
"8","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.1248,0.18
"9","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.1237,0.18
"10","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.1155,0.16
"11","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0673,0.1
"12","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0627,0.09
"13","FC_INTERNET",0.052,0.07
"14","IN_CH_STATE_BA_x_CH_RURAL",0.0442,0.06
"15","FC_COMPUTER_LAB",0.0431,0.06
"16","FC_WATER_PUBLIC",0.0422,0.06
"17","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.038,0.05
"18","IN_CH_STATE_AM_x_FC_SEWAGE",0.0359,0.05
"19","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_T",0.0299,0.04
"20","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0299,0.04
"21","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_T",0.0286,0.04
"22","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0215,0.03
"23","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.0173,0.02
"24","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.0161,0.02
"25","CH_FUNDAMENTAL_EDU_T",0.0149,0.02
"26","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.0115,0.02
"27","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.0091,0.01
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",0.0019,0
"29","FC_NUMBER_COMPUTERS",0.0013,0
"30","ST_TOTAL_STAFF",2e-04,0
"31","CH_MATRI_FUNDAMENTAL_EDU",-4e-04,0
"32","IN_CH_STATE_AL_x_CH_URBAN",-0.0137,-0.02
"33","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.0145,-0.02
"34","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.015,-0.02
"35","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0157,-0.02
"36","IN_CH_STATE_PA_x_CH_RURAL",-0.0187,-0.03
"37","IN_CH_STATE_BA_x_FC_INTERNET",-0.0213,-0.03
"38","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_I",-0.0214,-0.03
"39","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.0303,-0.04
"40","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.0375,-0.05
"41","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",-0.0426,-0.06
"42","IN_CH_STATE_ES_x_CH_RURAL",-0.0517,-0.07
"43","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.0641,-0.09
"44","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.0648,-0.09
"45","IN_CH_STATE_PI_x_CH_URBAN",-0.0795,-0.11
"46","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.085,-0.12
"47","CLASS_SIZE",-0.0878,-0.13
"48","IN_CH_STATE_RO_x_CH_RURAL",-0.0915,-0.13
"49","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.096,-0.14
"50","IN_CH_STATE_MG_x_FC_COMPUTER",-0.116,-0.17
"51","IN_CH_STATE_BA_x_CH_PRIVATE",-0.1198,-0.17
"52","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.1366,-0.19
"53","IN_CH_STATE_PI_x_CH_STATE",-0.1403,-0.2
"54","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.1538,-0.22
"55","IN_CH_STATE_SC_x_CH_RURAL",-0.1815,-0.26
"56","FC_WATER",-0.27,-0.38
"57","IN_CH_STATE_BA_x_CH_URBAN",-0.3018,-0.43
"58","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.342,-0.49
"59","IN_CH_STATE_MG_x_CH_STATE",-0.3541,-0.5
"60","IN_CH_STATE_CE_x_CH_FEDERAL",-0.3704,-0.53
"61","IN_CH_STATE_BA_x_CH_FEDERAL",-0.4934,-0.7
"62","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.5292,-0.75
"63","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.5965,-0.85
"64","IN_CH_STATE_RS_x_CH_RURAL",-0.6959,-0.99
"65","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.8281,-1.18
