"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_CE_x_CH_FEDERAL",4.9352,-45.01
"2","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.2113,-1.93
"3","IN_CH_STATE_RS_x_CH_RURAL",0.1852,-1.69
"4","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.1457,-1.33
"5","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.117,-1.07
"6","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.1064,-0.97
"7","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.0909,-0.83
"8","IN_CH_STATE_PI_x_CH_PRIVATE",0.0848,-0.77
"9","IN_CH_STATE_MG_x_CH_STATE",0.0781,-0.71
"10","IN_CH_STATE_BA_x_CH_URBAN",0.0576,-0.53
"11","IN_CH_STATE_PI_x_CH_URBAN",0.0573,-0.52
"12","IN_CH_STATE_AL_x_CH_URBAN",0.0571,-0.52
"13","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0569,-0.52
"14","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.0522,-0.48
"15","IN_CH_STATE_TO_x_CH_RURAL",0.041,-0.37
"16","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.0363,-0.33
"17","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.025,-0.23
"18","CLASS_SIZE",0.0245,-0.22
"19","IN_CH_STATE_SC_x_CH_RURAL",0.0225,-0.21
"20","IN_CH_STATE_PA_x_CH_RURAL",0.0131,-0.12
"21","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0098,-0.09
"22","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0097,-0.09
"23","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.0092,-0.08
"24","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_I",0.0044,-0.04
"25","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0027,-0.02
"26","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",9e-04,-0.01
"27","CH_MATRI_FUNDAMENTAL_EDU",1e-04,0
"28","FC_NUMBER_COMPUTERS",-7e-04,0.01
"29","IN_CH_STATE_PE_x_FC_INTERNET",-0.0037,0.03
"30","CH_FUNDAMENTAL_EDU_T",-0.0049,0.04
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",-0.0061,0.06
"32","IN_CH_STATE_PE_x_FC_TV_EQUIPMENT",-0.0074,0.07
"33","IN_CH_STATE_PE_x_FC_COMPUTER",-0.0096,0.09
"34","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.0111,0.1
"35","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.0114,0.1
"36","IN_CH_STATE_RN_x_CH_RURAL",-0.0125,0.11
"37","IN_CH_STATE_CE_x_CH_MUNICIPAL",-0.0145,0.13
"38","IN_CH_STATE_CE_x_CH_RURAL",-0.0227,0.21
"39","IN_CH_STATE_RO_x_FC_INTERNET",-0.0241,0.22
"40","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0258,0.24
"41","FC_WATER_PUBLIC",-0.0281,0.26
"42","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",-0.0405,0.37
"43","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_T",-0.0451,0.41
"44","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.0487,0.44
"45","IN_CH_STATE_SP_x_CH_PRIVATE",-0.0542,0.49
"46","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",-0.0561,0.51
"47","IN_CH_STATE_MA_x_CH_PRIVATE",-0.0636,0.58
"48","IN_CH_PRIVATE_x_FC_SEWAGE",-0.0954,0.87
"49","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.1019,0.93
"50","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.1033,0.94
"51","IN_CH_STATE_RN_x_CH_PRIVATE",-0.1734,1.58
"52","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.236,2.15
"53","IN_CH_STATE_ES_x_CH_FEDERAL",-2.3002,20.98
"54","IN_CH_STATE_PE_x_CH_FEDERAL",-4.2262,38.54
