"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.5237,0.77
"2","IN_CH_STATE_SP_x_CH_PRIVATE",0.265,0.39
"3","FC_COMPUTER_LAB",0.0792,0.12
"4","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.0767,0.11
"5","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0596,0.09
"6","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0562,0.08
"7","IN_CH_STATE_SC_x_CH_URBAN",0.0546,0.08
"8","IN_CH_STATE_x_FC_COMPUTER_LAB",0.0448,0.07
"9","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.0409,0.06
"10","FC_ELECTR_PUBLIC",0.0322,0.05
"11","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.0321,0.05
"12","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0312,0.05
"13","FC_INTERNET",0.021,0.03
"14","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.01,0.01
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.0053,0.01
"16","FC_NUMBER_COMPUTERS",6e-04,0
"17","FC_SCIENCE_LAB",0,0
"18","CH_CLASSES_FUNDAMENTAL_EDU_T",-1e-04,0
"19","CH_MATRI_FUNDAMENTAL_EDU_T",-3e-04,0
"20","CH_MATRI_FUNDAMENTAL_EDU",-5e-04,0
"21","FC_NO_SPORTS_QUAD",-0.0011,0
"22","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",-0.0092,-0.01
"23","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.0129,-0.02
"24","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.0205,-0.03
"25","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.024,-0.04
"26","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.0247,-0.04
"27","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.03,-0.04
"28","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.0472,-0.07
"29","CLASS_SIZE",-0.0855,-0.12
"30","IN_CH_STATE_SC_x_CH_RURAL",-0.087,-0.13
"31","IN_CH_STATE_MG_x_CH_PRIVATE",-0.0912,-0.13
"32","FC_WATER",-0.0929,-0.14
"33","IN_CH_STATE_MG_x_FC_COMPUTER",-0.103,-0.15
"34","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.1822,-0.27
"35","IN_CH_STATE_BA_x_CH_URBAN",-0.2129,-0.31
"36","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.2161,-0.32
"37","IN_CH_STATE_MG_x_CH_STATE",-0.2209,-0.32
"38","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.3029,-0.44
"39","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.3411,-0.5
"40","IN_CH_STATE_BA_x_CH_PRIVATE",-0.3978,-0.58
"41","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.5534,-0.81
"42","IN_CH_STATE_RS_x_CH_RURAL",-0.5748,-0.84
