"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_CE_x_CH_FEDERAL",22.7792,-11.52
"2","IN_CH_STATE_PI_x_CH_FEDERAL",6.6327,-3.35
"3","IN_CH_STATE_RS_x_CH_RURAL",3.2162,-1.63
"4","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",2.8215,-1.43
"5","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",2.802,-1.42
"6","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",2.5357,-1.28
"7","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",1.5868,-0.8
"8","FC_WATER",1.4705,-0.74
"9","IN_CH_STATE_MG_x_CH_STATE",1.0791,-0.55
"10","IN_CH_STATE_BA_x_CH_URBAN",0.9498,-0.48
"11","IN_CH_STATE_SC_x_CH_RURAL",0.8939,-0.45
"12","IN_CH_STATE_PI_x_CH_STATE",0.8555,-0.43
"13","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.8203,-0.41
"14","IN_CH_STATE_BA_x_CH_PRIVATE",0.7454,-0.38
"15","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.6232,-0.32
"16","IN_CH_STATE_AL_x_CH_URBAN",0.6189,-0.31
"17","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.5617,-0.28
"18","IN_CH_STATE_RO_x_CH_RURAL",0.5535,-0.28
"19","IN_CH_STATE_PA_x_CH_RURAL",0.4117,-0.21
"20","CLASS_SIZE",0.4094,-0.21
"21","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.3889,-0.2
"22","IN_CH_STATE_MG_x_FC_COMPUTER",0.3376,-0.17
"23","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.3248,-0.16
"24","IN_CH_STATE_BA_x_FC_INTERNET",0.3043,-0.15
"25","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.224,-0.11
"26","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.2094,-0.11
"27","IN_CH_STATE_BA_x_CH_FEDERAL",0.1659,-0.08
"28","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.1527,-0.08
"29","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1393,-0.07
"30","IN_CH_STATE_ES_x_CH_RURAL",0.1383,-0.07
"31","IN_CH_STATE_PI_x_CH_URBAN",0.1158,-0.06
"32","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.1114,-0.06
"33","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0572,-0.03
"34","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_I",0.0356,-0.02
"35","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.0205,-0.01
"36","CH_MATRI_FUNDAMENTAL_EDU",0.0026,0
"37","ST_TOTAL_STAFF",-3e-04,0
"38","FC_ROOMS_USED",-0.0016,0
"39","CH_FUNDAMENTAL_EDU_T",-0.003,0
"40","FC_NUMBER_COMPUTERS",-0.0042,0
"41","IN_CH_STATE_AC_x_CH_RURAL",-0.0092,0
"42","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_T",-0.0233,0.01
"43","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.0255,0.01
"44","IN_CH_STATE_SC_x_FC_LIBRARY",-0.0283,0.01
"45","IN_CH_STATE_PR_x_CH_PRIVATE",-0.0341,0.02
"46","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",-0.0545,0.03
"47","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_T",-0.0587,0.03
"48","IN_CH_STATE_MA_x_FC_LIBRARY",-0.0637,0.03
"49","IN_CH_STATE_BA_x_CH_RURAL",-0.0738,0.04
"50","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.085,0.04
"51","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.0888,0.04
"52","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.1028,0.05
"53","FC_WATER_PUBLIC",-0.1199,0.06
"54","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.1522,0.08
"55","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",-0.2015,0.1
"56","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.2174,0.11
"57","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.2255,0.11
"58","FC_INTERNET",-0.2438,0.12
"59","FC_COMPUTER_LAB",-0.2578,0.13
"60","IN_CH_STATE_RN_x_CH_FEDERAL",-0.3632,0.18
"61","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",-0.3822,0.19
"62","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.433,0.22
"63","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.4337,0.22
"64","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-0.4367,0.22
"65","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.5188,0.26
"66","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.6367,0.32
"67","IN_CH_STATE_RN_x_CH_PRIVATE",-0.7603,0.38
"68","IN_CH_STATE_SP_x_CH_PRIVATE",-1.4565,0.74
"69","IN_CH_STATE_PE_x_CH_FEDERAL",-2.0245,1.02
"70","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-2.2364,1.13
"71","IN_CH_STATE_ES_x_CH_FEDERAL",-4.5441,2.3
"72","IN_CH_STATE_SE_x_CH_FEDERAL",-8.3502,4.22
"73","IN_CH_STATE_SP_x_CH_FEDERAL",-21.3398,10.79
"74","IN_CH_STATE_PR_x_CH_FEDERAL",-24.0929,12.18
