"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",13.0424,21.87
"2","IN_CH_STATE_SP_x_CH_FEDERAL",9.4263,15.81
"3","IN_CH_STATE_ES_x_CH_FEDERAL",8.3245,13.96
"4","IN_CH_STATE_PR_x_CH_FEDERAL",0.7579,1.27
"5","IN_CH_STATE_RN_x_CH_FEDERAL",0.6435,1.08
"6","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.5707,0.96
"7","IN_CH_STATE_RN_x_CH_PRIVATE",0.4771,0.8
"8","IN_CH_PRIVATE_x_FC_SEWAGE",0.3207,0.54
"9","IN_CH_STATE_SP_x_CH_PRIVATE",0.3185,0.53
"10","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.2738,0.46
"11","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.1301,0.22
"12","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.1224,0.21
"13","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",0.1213,0.2
"14","IN_CH_STATE_RO_x_CH_STATE",0.116,0.19
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",0.0951,0.16
"16","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.0928,0.16
"17","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0896,0.15
"18","FC_WATER_PUBLIC",0.0711,0.12
"19","IN_CH_STATE_SC_x_CH_URBAN",0.0642,0.11
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.0605,0.1
"21","IN_CH_STATE_AC_x_FC_SEWAGE",0.0563,0.09
"22","IN_CH_STATE_RN_x_CH_RURAL",0.0516,0.09
"23","IN_CH_STATE_CE_x_CH_RURAL",0.0515,0.09
"24","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.0438,0.07
"25","IN_CH_STATE_PB_x_CH_PRIVATE",0.0336,0.06
"26","FC_TV_EQUIPMENT",0.0313,0.05
"27","FC_HAS_SPORTS_QUAD",0.0308,0.05
"28","IN_CH_STATE_RO_x_FC_INTERNET",0.0306,0.05
"29","IN_CH_STATE_MA_x_FC_LIBRARY",0.0248,0.04
