"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_BA_x_CH_FEDERAL",7.7126,-4.93
"2","IN_CH_STATE_RJ_x_CH_FEDERAL",3.0985,-1.98
"3","IN_CH_STATE_RS_x_CH_RURAL",2.394,-1.53
"4","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",2.0623,-1.32
"5","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",2.0127,-1.29
"6","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.5594,-1
"7","FC_WATER",1.4687,-0.94
"8","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",1.241,-0.79
"9","IN_CH_STATE_MG_x_CH_FEDERAL",1.1629,-0.74
"10","IN_CH_STATE_BA_x_CH_PRIVATE",0.9491,-0.61
"11","IN_CH_STATE_BA_x_CH_URBAN",0.8568,-0.55
"12","IN_CH_STATE_MG_x_CH_STATE",0.8235,-0.53
"13","IN_CH_STATE_SC_x_CH_RURAL",0.7228,-0.46
"14","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.6368,-0.41
"15","IN_CH_STATE_PI_x_CH_STATE",0.5003,-0.32
"16","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.4823,-0.31
"17","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.4356,-0.28
"18","CLASS_SIZE",0.3118,-0.2
"19","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.2876,-0.18
"20","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.2602,-0.17
"21","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.2443,-0.16
"22","IN_CH_STATE_MG_x_FC_COMPUTER",0.2426,-0.16
"23","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.2307,-0.15
"24","IN_CH_STATE_RO_x_CH_RURAL",0.2048,-0.13
"25","IN_CH_STATE_ES_x_CH_RURAL",0.1864,-0.12
"26","IN_CH_STATE_BA_x_FC_INTERNET",0.1799,-0.11
"27","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.156,-0.1
"28","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.1225,-0.08
"29","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.072,-0.05
"30","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0612,-0.04
"31","IN_CH_STATE_TO_x_CH_FUNDAMENTAL_EDU_I",0.0389,-0.02
"32","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0193,-0.01
"33","IN_CH_STATE_PA_x_CH_RURAL",0.0147,-0.01
"34","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0088,-0.01
"35","IN_CH_STATE_PI_x_FC_ELECTR_PUBLIC",0.0072,0
"36","CH_MATRI_FUNDAMENTAL_EDU",0.0013,0
"37","ST_TOTAL_STAFF",-5e-04,0
"38","FC_NUMBER_COMPUTERS",-0.0029,0
"39","IN_CH_STATE_MA_x_CH_FUNDAMENTAL_EDU_T",-0.0102,0.01
"40","IN_CH_STATE_CE_x_CH_URBAN",-0.0118,0.01
"41","IN_CH_STATE_SP_x_CH_STATE",-0.029,0.02
"42","FC_WATER_PUBLIC",-0.0428,0.03
"43","IN_CH_STATE_MA_x_FC_INTERNET",-0.064,0.04
"44","IN_CH_STATE_AM_x_CH_RURAL",-0.0851,0.05
"45","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",-0.0998,0.06
"46","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0999,0.06
"47","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",-0.1017,0.06
"48","FC_INTERNET",-0.1151,0.07
"49","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.1215,0.08
"50","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",-0.1254,0.08
"51","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.1328,0.08
"52","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.1428,0.09
"53","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",-0.18,0.12
"54","FC_COMPUTER_LAB",-0.1936,0.12
"55","IN_CH_STATE_BA_x_CH_RURAL",-0.243,0.16
"56","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.2481,0.16
"57","IN_CH_STATE_CE_x_FC_INTERNET",-0.2537,0.16
"58","IN_CH_STATE_AM_x_FC_SEWAGE",-0.2605,0.17
"59","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.3005,0.19
"60","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",-0.3216,0.21
"61","IN_CH_STATE_SP_x_CH_FEDERAL",-0.3999,0.26
"62","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.432,0.28
"63","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.4966,0.32
"64","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-0.946,0.6
"65","IN_CH_STATE_SP_x_CH_PRIVATE",-1.1702,0.75
"66","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-1.4897,0.95
"67","IN_CH_STATE_SE_x_CH_FEDERAL",-12.8062,8.18
"68","IN_CH_STATE_PR_x_CH_FEDERAL",-18.897,12.07
