"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",1.0178,1.28
"2","IN_CH_STATE_SP_x_CH_PRIVATE",0.515,0.65
"3","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.1523,0.19
"4","IN_CH_STATE_SE_x_CH_SCHOOL_LARGE_SIZE",0.1459,0.18
"5","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.1204,0.15
"6","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.1158,0.15
"7","FC_COMPUTER_LAB",0.0917,0.12
"8","FC_INTERNET",0.087,0.11
"9","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0778,0.1
"10","IN_CH_STATE_SC_x_CH_URBAN",0.0754,0.09
"11","FC_ELECTR",0.0586,0.07
"12","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0435,0.05
"13","IN_CH_STATE_SC_x_FC_LIBRARY",0.0385,0.05
"14","FC_WATER_PUBLIC",0.0338,0.04
"15","IN_CH_STATE_AC_x_FC_SEWAGE",0.0324,0.04
"16","FC_HAS_SPORTS_QUAD",0.0294,0.04
"17","IN_CH_STATE_PR_x_CH_PRIVATE",0.0201,0.03
"18","FC_NUMBER_COMPUTERS",0.001,0
"19","IN_CH_PRIVATE_x_FC_SEWAGE",5e-04,0
"20","CH_MATRI_FUNDAMENTAL_EDU",-0.0015,0
"21","FC_NO_SPORTS_QUAD",-0.0033,0
"22","IN_CH_STATE_BA_x_FC_INTERNET",-0.0107,-0.01
"23","IN_CH_STATE_RO_x_CH_RURAL",-0.0143,-0.02
"24","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0153,-0.02
"25","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.0178,-0.02
"26","IN_CH_MUNICIPAL_x_FC_WATER",-0.0359,-0.05
"27","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.0404,-0.05
"28","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.0683,-0.09
"29","IN_CH_STATE_BA_x_CH_PRIVATE",-0.0746,-0.09
"30","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.0758,-0.1
"31","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",-0.1563,-0.2
"32","IN_CH_STATE_SC_x_CH_RURAL",-0.1575,-0.2
"33","CLASS_SIZE",-0.1701,-0.21
"34","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.1746,-0.22
"35","IN_CH_STATE_MG_x_FC_COMPUTER",-0.2275,-0.29
"36","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.2787,-0.35
"37","IN_CH_STATE_AM_x_FC_SCIENCE_LAB",-0.282,-0.35
"38","IN_CH_STATE_PA_x_CH_RURAL",-0.3108,-0.39
"39","IN_CH_STATE_BA_x_CH_URBAN",-0.335,-0.42
"40","IN_CH_STATE_AL_x_CH_URBAN",-0.4538,-0.57
"41","IN_CH_STATE_MG_x_CH_STATE",-0.4955,-0.62
"42","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.5051,-0.63
"43","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.6064,-0.76
"44","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.7136,-0.9
"45","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.8632,-1.08
"46","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.9754,-1.23
"47","IN_CH_STATE_RS_x_CH_RURAL",-1.103,-1.39
"48","IN_CH_STATE_PI_x_CH_FEDERAL",-5.3082,-6.67
"49","IN_CH_STATE_CE_x_CH_FEDERAL",-5.3149,-6.68
