"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_CE_x_CH_FEDERAL",12.136,-2086.1
"2","IN_CH_STATE_PA_x_CH_FEDERAL",3.7652,-647.21
"3","IN_CH_STATE_AM_x_CH_FEDERAL",1.2682,-218
"4","IN_CH_STATE_AM_x_CH_STATE",0.5796,-99.63
"5","IN_CH_STATE_AL_x_FC_LIBRARY",0.4829,-83.01
"6","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.2282,-39.23
"7","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",0.1411,-24.25
"8","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",0.1248,-21.45
"9","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.1114,-19.15
"10","IN_CH_STATE_BA_x_CH_RURAL",0.1073,-18.44
"11","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.1071,-18.41
"12","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",0.1035,-17.79
"13","IN_CH_STATE_PA_x_FC_ELECTR_PUBLIC",0.0984,-16.91
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0576,-9.9
"15","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0443,-7.61
"16","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.034,-5.84
"17","IN_CH_STATE_x_FC_SCIENCE_LAB",0.0271,-4.66
"18","IN_CH_STATE_AL_x_FC_COMPUTER",0.0259,-4.45
"19","IN_CH_STATE_SP_x_CH_STATE",0.0258,-4.43
"20","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.0146,-2.51
"21","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.0084,-1.44
"22","FC_SEWAGE_PUBLIC",0.0077,-1.32
"23","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.0065,-1.12
"24","CLASS_SIZE",0.0064,-1.1
"25","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0034,-0.58
"26","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",6e-04,-0.1
"27","CH_MATRI_FUNDAMENTAL_EDU_I",3e-04,-0.05
"28","CH_MATRI_FUNDAMENTAL_EDU",1e-04,-0.02
"29","IN_CH_STATE_ES_x_CH_FUNDAMENTAL_EDU_I",-0.0057,0.98
"30","IN_CH_STATE_MG_x_FC_COMPUTER",-0.009,1.55
"31","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-0.0115,1.98
"32","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.0138,2.37
"33","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.0145,2.49
"34","CH_STATE_ES",-0.0154,2.65
"35","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",-0.0159,2.73
"36","IN_CH_STATE_TO_x_FC_LIBRARY",-0.0168,2.89
"37","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR_PUBLIC",-0.0202,3.47
"38","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-0.0256,4.4
"39","IN_CH_STATE_SE_x_CH_MUNICIPAL",-0.0275,4.73
"40","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.0402,6.91
"41","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",-0.0481,8.27
"42","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.0534,9.18
"43","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0538,9.25
"44","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.0566,9.73
"45","IN_CH_RURAL_x_FC_LIBRARY",-0.0578,9.94
"46","IN_CH_STATE_MG_x_CH_STATE",-0.0655,11.26
"47","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.0796,13.68
"48","IN_CH_STATE_BA_x_CH_FEDERAL",-3.8187,656.41
