"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.9003,1.1
"2","IN_CH_STATE_SP_x_CH_PRIVATE",0.3592,0.44
"3","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.2311,0.28
"4","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.2007,0.25
"5","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.1828,0.22
"6","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.1086,0.13
"7","FC_COMPUTER_LAB",0.0959,0.12
"8","FC_INTERNET",0.0935,0.11
"9","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0762,0.09
"10","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.0681,0.08
"11","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0551,0.07
"12","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.0406,0.05
"13","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR_PUBLIC",0.04,0.05
"14","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.0394,0.05
"15","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.0342,0.04
"16","FC_WATER_PUBLIC",0.0336,0.04
"17","FC_SCIENCE_LAB",0.0151,0.02
"18","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.0023,0
"19","FC_NUMBER_COMPUTERS",0.0015,0
"20","IN_CH_STATE_MA_x_FC_ELECTR",5e-04,0
"21","IN_CH_STATE_SP_x_CH_RURAL",3e-04,0
"22","CH_MATRI_FUNDAMENTAL_EDU_T",-5e-04,0
"23","CH_MATRI_FUNDAMENTAL_EDU",-7e-04,0
"24","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-0.0028,0
"25","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0105,-0.01
"26","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.0117,-0.01
"27","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",-0.0121,-0.01
"28","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",-0.029,-0.04
"29","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.0338,-0.04
"30","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.052,-0.06
"31","IN_CH_STATE_BA_x_FC_INTERNET",-0.0592,-0.07
"32","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.0662,-0.08
"33","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.0809,-0.1
"34","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-0.0853,-0.1
"35","IN_CH_STATE_PA_x_CH_RURAL",-0.0915,-0.11
"36","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.1124,-0.14
"37","CLASS_SIZE",-0.1531,-0.19
"38","FC_WATER",-0.2067,-0.25
"39","IN_CH_STATE_SC_x_CH_RURAL",-0.2539,-0.31
"40","IN_CH_STATE_BA_x_CH_PRIVATE",-0.3142,-0.39
"41","IN_CH_STATE_MG_x_FC_COMPUTER",-0.326,-0.4
"42","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.3534,-0.43
"43","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.4672,-0.57
"44","IN_CH_STATE_BA_x_CH_URBAN",-0.5139,-0.63
"45","IN_CH_STATE_MG_x_CH_STATE",-0.581,-0.71
"46","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.7639,-0.94
"47","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.8025,-0.98
"48","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-1.0395,-1.28
"49","IN_CH_STATE_RS_x_CH_RURAL",-1.0508,-1.29
"50","IN_CH_STATE_BA_x_CH_FEDERAL",-2.3008,-2.82
