"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.7487,-0.31
"2","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.574,-0.24
"3","IN_CH_STATE_MG_x_FC_INTERNET",0.4008,-0.17
"4","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.2773,-0.12
"5","IN_CH_STATE_PB_x_CH_RURAL",0.144,-0.06
"6","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.127,-0.05
"7","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.1095,-0.05
"8","IN_CH_STATE_MG_x_FC_LIBRARY",0.0453,-0.02
"9","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.0304,-0.01
"10","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.0142,-0.01
"11","IN_CH_STATE_CE_x_FC_INTERNET",-0.0373,0.02
"12","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.0383,0.02
"13","IN_CH_STATE_SC_x_CH_URBAN",-0.0547,0.02
"14","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0715,0.03
"15","IN_CH_STATE_PR_x_CH_RURAL",-0.0842,0.04
"16","FC_TV_EQUIPMENT",-0.1685,0.07
"17","IN_CH_RURAL_x_FC_INTERNET",-0.2219,0.09
"18","IN_CH_STATE_MG_x_CH_RURAL",-0.4956,0.21
"19","IN_CH_STATE_RN_x_CH_FEDERAL",-4.5948,1.91
"20","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-6.4868,2.7
