"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",36.9772,-11.42
"2","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",4.0506,-1.25
"3","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",1.7814,-0.55
"4","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.6421,-0.51
"5","IN_CH_STATE_RJ_x_CH_RURAL",1.3526,-0.42
"6","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",1.1786,-0.36
"7","IN_CH_STATE_RO_x_CH_PRIVATE",0.9638,-0.3
"8","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.934,-0.29
"9","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.9084,-0.28
"10","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.8638,-0.27
"11","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.8283,-0.26
"12","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.825,-0.25
"13","IN_CH_STATE_MG_x_CH_STATE",0.8156,-0.25
"14","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.7751,-0.24
"15","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.6869,-0.21
"16","IN_CH_URBAN_x_FC_COMPUTER",0.6282,-0.19
"17","IN_CH_STATE_PA_x_CH_STATE",0.6275,-0.19
"18","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.5624,-0.17
"19","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.4585,-0.14
"20","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.41,-0.13
"21","IN_CH_STATE_PA_x_CH_PRIVATE",0.3874,-0.12
"22","IN_CH_STATE_MG_x_FC_LIBRARY",0.3683,-0.11
"23","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.3574,-0.11
"24","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.3367,-0.1
"25","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.3327,-0.1
"26","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.312,-0.1
"27","IN_CH_MUNICIPAL_x_FC_INTERNET",0.2894,-0.09
