"","Variable","Coefficient","Coefficient/ATE"
"1","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.6058,-0.3
"2","IN_CH_STATE_CE_x_CH_FEDERAL",0.44,-0.22
"3","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.3746,-0.18
"4","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.3456,-0.17
"5","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.3301,-0.16
"6","IN_CH_STATE_PB_x_CH_RURAL",0.3198,-0.16
"7","IN_CH_STATE_RS_x_CH_RURAL",0.1986,-0.1
"8","IN_CH_STATE_MG_x_FC_INTERNET",0.1829,-0.09
"9","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.1056,-0.05
"10","IN_CH_MUNICIPAL_x_FC_WATER",0.0777,-0.04
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",0.0727,-0.04
"12","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0659,-0.03
"13","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.0353,-0.02
"14","ST_FUND_EDU_TEACHERS",-0.0035,0
"15","IN_CH_STATE_AL_x_FC_INTERNET",-0.0044,0
"16","FC_LIBRARY",-0.0079,0
"17","IN_CH_STATE_PR_x_FC_LIBRARY",-0.0155,0.01
"18","FC_WATER_PUBLIC",-0.0214,0.01
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0245,0.01
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-0.0359,0.02
"21","IN_CH_URBAN_x_FC_SEWAGE",-0.0734,0.04
"22","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.0741,0.04
"23","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",-0.1024,0.05
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.1032,0.05
"25","IN_CH_STATE_CE_x_FC_INTERNET",-0.1216,0.06
"26","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.1353,0.07
"27","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-0.1742,0.09
"28","IN_CH_STATE_RO_x_CH_FEDERAL",-0.2364,0.12
"29","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",-0.2597,0.13
"30","FC_ELECTR_PUBLIC",-0.3584,0.18
"31","IN_CH_STATE_ES_x_CH_STATE",-0.5083,0.25
"32","IN_CH_STATE_MG_x_CH_RURAL",-0.6441,0.32
"33","FC_TV_EQUIPMENT",-0.7752,0.38
"34","IN_CH_STATE_BA_x_CH_FEDERAL",-4.8676,2.38
"35","IN_CH_STATE_RN_x_CH_FEDERAL",-5.9779,2.93
"36","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-14.1177,6.91
