"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",1.3957,-1.45
"2","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",1.2683,-1.32
"3","IN_CH_STATE_AC_x_CH_MUNICIPAL",1.2599,-1.31
"4","IN_CH_STATE_RS_x_CH_PRIVATE",1.0157,-1.06
"5","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",1.0033,-1.04
"6","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.9004,-0.94
"7","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.787,-0.82
"8","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.5493,-0.57
"9","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.5211,-0.54
"10","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.5185,-0.54
"11","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.5183,-0.54
"12","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.5121,-0.53
"13","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.4877,-0.51
"14","IN_CH_STATE_PA_x_CH_STATE",0.4508,-0.47
"15","IN_CH_STATE_TO_x_CH_FEDERAL",0.4291,-0.45
"16","IN_CH_STATE_RJ_x_CH_RURAL",0.4129,-0.43
"17","IN_CH_STATE_MG_x_CH_STATE",0.3927,-0.41
"18","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.3441,-0.36
"19","IN_CH_STATE_CE_x_CH_PRIVATE",0.3222,-0.33
"20","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.3069,-0.32
"21","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.2423,-0.25
"22","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.2311,-0.24
"23","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.2151,-0.22
"24","IN_CH_STATE_AL_x_CH_RURAL",0.2027,-0.21
"25","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.2001,-0.21
"26","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.1856,-0.19
"27","IN_CH_STATE_PB_x_CH_RURAL",0.162,-0.17
"28","IN_CH_STATE_MG_x_FC_LIBRARY",0.1521,-0.16
"29","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.1292,-0.13
