"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",7.6565,-50.64
"2","IN_CH_STATE_RO_x_CH_FEDERAL",1.669,-11.04
"3","IN_CH_STATE_RN_x_CH_FEDERAL",1.3034,-8.62
"4","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",1.1147,-7.37
"5","IN_CH_STATE_SP_x_CH_FEDERAL",0.8375,-5.54
"6","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.8258,-5.46
"7","IN_CH_STATE_RJ_x_CH_RURAL",0.8123,-5.37
"8","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",0.5375,-3.55
"9","IN_CH_STATE_ES_x_CH_STATE",0.4203,-2.78
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.3114,-2.06
"11","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.2733,-1.81
"12","IN_CH_URBAN_x_FC_COMPUTER",0.2723,-1.8
"13","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.2415,-1.6
"14","IN_CH_STATE_MG_x_CH_RURAL",0.2376,-1.57
"15","FC_TV_EQUIPMENT",0.223,-1.47
"16","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.2189,-1.45
"17","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.1826,-1.21
"18","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SCIENCE_LAB",0.1727,-1.14
"19","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.15,-0.99
"20","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.1392,-0.92
"21","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.1369,-0.91
"22","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.1234,-0.82
"23","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.1036,-0.69
"24","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.1,-0.66
"25","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0959,-0.63
"26","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.0934,-0.62
"27","FC_COMPUTER",0.091,-0.6
"28","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0853,-0.56
"29","IN_CH_STATE_SP_x_CH_STATE",0.0769,-0.51
"30","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.0758,-0.5
