"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_MA_x_CH_FEDERAL",0.8905,13.06
"2","IN_CH_STATE_BA_x_CH_FEDERAL",0.5616,8.23
"3","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",0.5275,7.73
"4","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.4494,6.59
"5","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.3974,5.83
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.3763,5.52
"7","IN_CH_STATE_RS_x_CH_PRIVATE",0.3635,5.33
"8","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.2665,3.91
"9","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.2544,3.73
"10","IN_CH_STATE_AP_x_CH_PRIVATE",0.2443,3.58
"11","IN_CH_STATE_CE_x_CH_PRIVATE",0.2331,3.42
"12","IN_CH_STATE_PE_x_CH_SCHOOL_LARGE_SIZE",0.2205,3.23
"13","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.1723,2.53
"14","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.1722,2.52
"15","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.1657,2.43
"16","IN_CH_STATE_PR_x_CH_PRIVATE",0.147,2.16
"17","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.1455,2.13
"18","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.1407,2.06
"19","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",0.1374,2.01
"20","IN_CH_STATE_MG_x_CH_RURAL",0.103,1.51
"21","IN_CH_FEDERAL_x_FC_LIBRARY",0.1009,1.48
"22","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.1005,1.47
"23","FC_ELECTR_PUBLIC",0.0945,1.39
"24","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.0853,1.25
"25","IN_CH_MUNICIPAL_x_FC_INTERNET",0.0756,1.11
"26","IN_CH_STATE_MG_x_CH_STATE",0.0689,1.01
"27","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.0678,0.99
"28","IN_CH_STATE_RO_x_CH_STATE",0.0578,0.85
"29","IN_CH_RURAL_x_FC_LIBRARY",0.0571,0.84
"30","IN_CH_STATE_SP_x_CH_RURAL",0.0508,0.74
"31","IN_CH_STATE_RJ_x_CH_RURAL",0.0486,0.71
"32","IN_CH_STATE_RR_x_CH_FEDERAL",0.0425,0.62
"33","CH_STATE_RR",0.0416,0.61
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.0387,0.57
"35","IN_CH_STATE_PA_x_FC_INTERNET",0.0351,0.51
"36","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.033,0.48
"37","FC_TV_EQUIPMENT",0.0329,0.48
"38","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.0254,0.37
"39","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.022,0.32
"40","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",0.0198,0.29
"41","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.0189,0.28
"42","IN_CH_STATE_PA_x_CH_PRIVATE",0.017,0.25
"43","IN_CH_RURAL_x_FC_INTERNET",0.0155,0.23
"44","FC_ANTENNA_EQUIPMENT",0.015,0.22
"45","IN_CH_MUNICIPAL_x_FC_COMPUTER",0.0136,0.2
"46","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.013,0.19
