"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",9.5298,-92.92
"2","IN_CH_STATE_RN_x_CH_FEDERAL",3.2157,-31.35
"3","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",2.273,-22.16
"4","IN_CH_STATE_MA_x_CH_FEDERAL",1.9008,-18.53
"5","IN_CH_STATE_RO_x_CH_FEDERAL",1.6339,-15.93
"6","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",1.4315,-13.96
"7","IN_CH_STATE_RJ_x_CH_RURAL",1.2948,-12.62
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.7891,-7.69
"9","IN_CH_URBAN_x_FC_ELECTR",0.7374,-7.19
"10","IN_CH_STATE_MG_x_CH_RURAL",0.6604,-6.44
"11","IN_CH_STATE_ES_x_CH_STATE",0.6185,-6.03
"12","FC_COMPUTER",0.4771,-4.65
"13","FC_TV_EQUIPMENT",0.3595,-3.51
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.2532,-2.47
"15","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.2367,-2.31
"16","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.2314,-2.26
"17","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.2128,-2.07
"18","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",0.2114,-2.06
"19","FC_INTERNET",0.1754,-1.71
"20","IN_CH_RURAL_x_FC_LIBRARY",0.173,-1.69
"21","IN_CH_URBAN_x_FC_SEWAGE",0.1683,-1.64
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.1589,-1.55
"23","IN_CH_STATE_PA_x_FC_LIBRARY",0.1506,-1.47
"24","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.136,-1.33
"25","IN_CH_STATE_AP_x_CH_URBAN",0.1353,-1.32
"26","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.1229,-1.2
"27","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.1125,-1.1
"28","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR",0.1076,-1.05
"29","IN_CH_STATE_AL_x_FC_COMPUTER_LAB",0.0876,-0.85
"30","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.0676,-0.66
"31","IN_CH_STATE_ES_x_FC_ANTENNA_EQUIPMENT",0.0667,-0.65
"32","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0601,-0.59
"33","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.0548,-0.53
"34","IN_CH_PRIVATE_x_FC_INTERNET",0.0519,-0.51
"35","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0498,-0.49
"36","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.0377,-0.37
"37","FC_WATER_PUBLIC",0.0291,-0.28
"38","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0289,-0.28
"39","IN_CH_STATE_AL_x_FC_INTERNET",0.0197,-0.19
"40","CH_CLASSES_FUNDAMENTAL_EDU_I",0.0173,-0.17
"41","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ANTENNA_EQUIPMENT",0.0165,-0.16
"42","ST_TEACHER_EDUCATION_YEARS",0.0129,-0.13
"43","ST_FUND_EDU_TEACHERS",0.0059,-0.06
"44","CLASS_SIZE",0.0053,-0.05
"45","FC_ROOMS_AVAILABLE",0.0045,-0.04
"46","FC_ROOMS_USED",0.0035,-0.03
"47","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0028,-0.03
"48","CH_CLASSES_FUNDAMENTAL_EDU",0.0022,-0.02
"49","CH_MATRI_FUNDAMENTAL_EDU",4e-04,0
"50","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",3e-04,0
"51","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.0032,0.03
"52","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",-0.0071,0.07
"53","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",-0.0101,0.1
"54","IN_CH_STATE_SC_x_FC_INTERNET",-0.0183,0.18
"55","IN_CH_STATE_BA_x_CH_RURAL",-0.0196,0.19
"56","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.0476,0.46
"57","IN_CH_STATE_SE_x_CH_STATE",-0.05,0.49
"58","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",-0.0551,0.54
"59","CH_MUNICIPAL",-0.0821,0.8
"60","IN_CH_STATE_SC_x_CH_STATE",-0.0843,0.82
"61","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.1075,1.05
"62","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.19,1.85
"63","IN_CH_STATE_PE_x_CH_RURAL",-0.4305,4.2
"64","IN_CH_STATE_PB_x_CH_PRIVATE",-0.4425,4.31
"65","IN_CH_STATE_PR_x_CH_RURAL",-0.4455,4.34
"66","IN_CH_STATE_SC_x_CH_RURAL",-0.509,4.96
"67","IN_CH_STATE_SE_x_CH_RURAL",-0.5106,4.98
"68","IN_CH_STATE_RS_x_CH_RURAL",-0.622,6.06
"69","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.7126,6.95
