"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_BA_x_CH_PRIVATE",1.409,4.54
"2","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",1.2494,4.02
"3","IN_CH_STATE_PE_x_CH_PRIVATE",1.2083,3.89
"4","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",1.1223,3.61
"5","IN_CH_STATE_PR_x_CH_RURAL",1.1113,3.58
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.8354,2.69
"7","IN_CH_STATE_RS_x_CH_PRIVATE",0.765,2.46
"8","IN_CH_STATE_SE_x_CH_RURAL",0.6605,2.13
"9","IN_CH_STATE_PB_x_CH_PRIVATE",0.6542,2.11
"10","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",0.6443,2.07
"11","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.5874,1.89
"12","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.5635,1.81
"13","IN_CH_STATE_PE_x_CH_STATE",0.508,1.64
"14","IN_CH_STATE_CE_x_CH_PRIVATE",0.4787,1.54
"15","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.4396,1.42
"16","IN_CH_STATE_SP_x_CH_RURAL",0.3722,1.2
"17","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.3396,1.09
"18","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.2868,0.92
"19","IN_CH_RURAL_x_FC_INTERNET",0.2597,0.84
"20","IN_CH_STATE_SC_x_CH_STATE",0.2233,0.72
"21","IN_CH_STATE_SC_x_FC_LIBRARY",0.1764,0.57
"22","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.1457,0.47
"23","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.1293,0.42
"24","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1075,0.35
"25","IN_CH_STATE_BA_x_CH_RURAL",0.0929,0.3
"26","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.0698,0.22
"27","IN_CH_URBAN_x_FC_ANTENNA_EQUIPMENT",0.0652,0.21
"28","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.0643,0.21
"29","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",0.0618,0.2
"30","IN_CH_STATE_PR_x_CH_FUNDAMENTAL_EDU_T",0.0491,0.16
"31","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.0416,0.13
"32","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.0302,0.1
"33","IN_CH_STATE_RN_x_CH_RURAL",0.0083,0.03
"34","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.007,0.02
"35","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.0032,0.01
"36","CH_MATRI_FUNDAMENTAL_EDU_I",-3e-04,0
"37","IN_CH_STATE_ES_x_CH_URBAN",-6e-04,0
"38","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-0.0022,-0.01
"39","CH_MATRI_FUNDAMENTAL_EDU",-0.0026,-0.01
"40","FC_NUMBER_COMPUTERS",-0.0075,-0.02
"41","FC_ROOMS_AVAILABLE",-0.0219,-0.07
"42","CLASS_STUDENT_TEACHER_RATIO",-0.0319,-0.1
"43","ST_FUND_EDU_TEACHERS",-0.0328,-0.11
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-0.0423,-0.14
"45","FC_ROOMS_USED",-0.0722,-0.23
"46","IN_CH_STATE_MG_x_CH_STATE",-0.0764,-0.25
"47","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-0.0825,-0.27
"48","IN_CH_STATE_MG_x_CH_RURAL",-0.1098,-0.35
"49","IN_CH_STATE_x_FC_COMPUTER",-0.1206,-0.39
"50","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.1208,-0.39
"51","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-0.1542,-0.5
"52","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",-0.161,-0.52
"53","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.1742,-0.56
"54","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.1854,-0.6
"55","IN_CH_URBAN_x_FC_COMPUTER",-0.2028,-0.65
"56","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-0.2058,-0.66
"57","IN_CH_FUNDAMENTAL_EDU_I_x_FC_TV_EQUIPMENT",-0.2058,-0.66
"58","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",-0.2294,-0.74
"59","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.2534,-0.82
"60","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.2548,-0.82
"61","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-0.2652,-0.85
"62","IN_CH_STATE_TO_x_FC_SEWAGE_PUBLIC",-0.2745,-0.88
"63","IN_CH_STATE_TO_x_FC_LIBRARY",-0.293,-0.94
"64","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.3393,-1.09
"65","IN_CH_STATE_MG_x_CH_PRIVATE",-0.3943,-1.27
