"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SC_x_CH_FEDERAL",27.161,-322.26
"2","IN_CH_STATE_SP_x_CH_FEDERAL",11.8686,-140.82
"3","IN_CH_STATE_PE_x_CH_FEDERAL",1.5084,-17.9
"4","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",1.2334,-14.63
"5","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.6177,-7.33
"6","IN_CH_STATE_PE_x_CH_RURAL",0.5758,-6.83
"7","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.4707,-5.58
"8","IN_CH_SCHOOL_LARGE_SIZE_x_FC_INTERNET",0.4603,-5.46
"9","IN_CH_STATE_RS_x_CH_RURAL",0.4083,-4.84
"10","IN_CH_STATE_ES_x_CH_PRIVATE",0.4055,-4.81
"11","IN_CH_STATE_SC_x_CH_RURAL",0.4025,-4.78
"12","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.3239,-3.84
"13","IN_CH_STATE_SE_x_CH_STATE",0.299,-3.55
"14","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.2805,-3.33
"15","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.2771,-3.29
"16","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.2744,-3.26
"17","IN_CH_STATE_MG_x_CH_PRIVATE",0.1911,-2.27
"18","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1525,-1.81
"19","IN_CH_STATE_PR_x_CH_RURAL",0.1385,-1.64
"20","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",0.1005,-1.19
"21","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.1003,-1.19
"22","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0845,-1
"23","IN_CH_STATE_PI_x_FC_INTERNET",0.075,-0.89
"24","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.0733,-0.87
"25","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.0719,-0.85
"26","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.0695,-0.82
"27","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0606,-0.72
