"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",17.3189,49.79
"2","IN_CH_STATE_PB_x_CH_PRIVATE",1.4802,4.26
"3","IN_CH_STATE_PR_x_CH_RURAL",1.2704,3.65
"4","IN_CH_STATE_SE_x_CH_RURAL",0.9144,2.63
"5","IN_CH_STATE_BA_x_CH_PRIVATE",0.8287,2.38
"6","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.4762,1.37
"7","IN_CH_STATE_PE_x_CH_FUNDAMENTAL_EDU_T",0.4305,1.24
"8","IN_CH_STATE_RS_x_CH_RURAL",0.3416,0.98
"9","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",0.3411,0.98
"10","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.3333,0.96
"11","IN_CH_STATE_SC_x_CH_STATE",0.3282,0.94
"12","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",0.2722,0.78
"13","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.2235,0.64
"14","IN_CH_STATE_RN_x_CH_RURAL",0.199,0.57
"15","CH_MUNICIPAL",0.1988,0.57
"16","IN_CH_STATE_SC_x_CH_RURAL",0.1911,0.55
"17","IN_CH_STATE_SC_x_FC_LIBRARY",0.1734,0.5
"18","IN_CH_STATE_SC_x_FC_INTERNET",0.1656,0.48
"19","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",0.1505,0.43
"20","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",0.1441,0.41
"21","IN_CH_STATE_SP_x_CH_RURAL",0.1364,0.39
"22","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.1353,0.39
"23","IN_CH_STATE_PE_x_CH_PRIVATE",0.1089,0.31
"24","IN_CH_STATE_PR_x_CH_FUNDAMENTAL_EDU_T",0.0991,0.28
"25","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.0854,0.25
"26","IN_CH_STATE_RS_x_FC_SCIENCE_LAB",0.055,0.16
"27","IN_CH_STATE_SC_x_FC_ANTENNA_EQUIPMENT",0.0427,0.12
"28","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.0327,0.09
"29","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",0.0167,0.05
"30","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.0115,0.03
"31","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.0014,0
"32","IN_CH_STATE_RR_x_CH_STATE",0,0
