"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",21.654,457.63
"2","IN_CH_STATE_RO_x_CH_FEDERAL",4.1817,88.38
"3","IN_CH_STATE_MA_x_CH_FEDERAL",2.2787,48.16
"4","IN_CH_STATE_RN_x_CH_FEDERAL",1.6049,33.92
"5","IN_CH_STATE_BA_x_CH_FEDERAL",1.59,33.6
"6","IN_CH_STATE_AP_x_FC_SCIENCE_LAB",0.9592,20.27
"7","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",0.8623,18.22
"8","IN_CH_STATE_RJ_x_CH_RURAL",0.8139,17.2
"9","IN_CH_STATE_ES_x_CH_STATE",0.4729,9.99
"10","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.4008,8.47
"11","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.3508,7.41
"12","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.336,7.1
"13","IN_CH_STATE_MG_x_CH_RURAL",0.3055,6.46
"14","FC_WATER",0.2542,5.37
"15","FC_COMPUTER",0.2503,5.29
"16","IN_CH_URBAN_x_FC_ELECTR",0.1982,4.19
"17","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.18,3.8
"18","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.1741,3.68
"19","IN_CH_RURAL_x_FC_LIBRARY",0.1719,3.63
"20","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.1688,3.57
"21","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.1553,3.28
"22","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.1359,2.87
"23","FC_TV_EQUIPMENT",0.1312,2.77
"24","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.1296,2.74
"25","IN_CH_STATE_RN_x_CH_STATE",0.1295,2.74
"26","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.1151,2.43
"27","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.115,2.43
"28","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.1122,2.37
"29","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.1111,2.35
"30","IN_CH_URBAN_x_FC_SEWAGE",0.1077,2.28
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.1009,2.13
"32","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.0974,2.06
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER",0.0969,2.05
"34","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0903,1.91
