"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_AP_x_CH_FEDERAL",14.6882,350.22
"2","IN_CH_STATE_PA_x_CH_FEDERAL",8.3346,198.73
"3","IN_CH_STATE_TO_x_CH_FEDERAL",2.3312,55.58
"4","IN_CH_STATE_RO_x_CH_FEDERAL",2.1199,50.55
"5","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",0.8604,20.51
"6","IN_CH_STATE_RJ_x_CH_RURAL",0.6883,16.41
"7","IN_CH_STATE_AP_x_CH_PRIVATE",0.5329,12.71
"8","IN_CH_STATE_ES_x_CH_FEDERAL",0.4064,9.69
"9","IN_CH_FEDERAL_x_FC_LIBRARY",0.4031,9.61
"10","IN_CH_URBAN_x_FC_COMPUTER",0.402,9.59
"11","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.3859,9.2
"12","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.2982,7.11
"13","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.277,6.6
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER",0.2653,6.33
"15","IN_CH_STATE_RJ_x_CH_STATE",0.2638,6.29
"16","IN_CH_STATE_ES_x_CH_STATE",0.2535,6.04
"17","FC_WATER",0.2433,5.8
"18","IN_CH_STATE_MG_x_CH_STATE",0.234,5.58
"19","IN_CH_STATE_RR_x_CH_FEDERAL",0.2289,5.46
"20","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.2091,4.99
"21","CH_STATE_RR",0.1973,4.7
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.1656,3.95
"23","IN_CH_STATE_SP_x_CH_STATE",0.1562,3.72
"24","FC_TV_EQUIPMENT",0.1236,2.95
"25","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.1166,2.78
"26","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.1094,2.61
"27","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.1059,2.53
"28","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.0986,2.35
"29","IN_CH_PRIVATE_x_FC_INTERNET",0.0943,2.25
"30","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0878,2.09
"31","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.0877,2.09
"32","IN_CH_STATE_SP_x_CH_PRIVATE",0.0813,1.94
"33","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.0746,1.78
"34","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.073,1.74
"35","IN_CH_URBAN_x_FC_INTERNET",0.072,1.72
"36","IN_CH_STATE_RN_x_CH_STATE",0.0681,1.62
"37","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0611,1.46
"38","IN_CH_STATE_MG_x_CH_RURAL",0.0529,1.26
"39","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0509,1.21
"40","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0426,1.02
"41","IN_CH_STATE_MG_x_FC_LIBRARY",0.0423,1.01
"42","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.042,1
"43","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.0354,0.84
"44","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.032,0.76
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0288,0.69
"46","IN_CH_STATE_MA_x_FC_NO_SPORTS_QUAD",0.025,0.6
"47","IN_CH_STATE_PB_x_CH_RURAL",0.0249,0.59
"48","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.0197,0.47
"49","IN_CH_STATE_AM_x_CH_PRIVATE",0.019,0.45
"50","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.0179,0.43
"51","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0092,0.22
"52","FC_ROOMS_USED",0.0065,0.15
"53","CH_CLASSES_FUNDAMENTAL_EDU_I",0.006,0.14
"54","ST_FUND_EDU_TEACHERS",0.0054,0.13
"55","CH_CLASSES_FUNDAMENTAL_EDU",0.0052,0.12
"56","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.0047,0.11
"57","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER_PUBLIC",0.0043,0.1
"58","CLASS_STUDENT_TEACHER_RATIO",0.0041,0.1
"59","FC_ROOMS_AVAILABLE",0.0037,0.09
"60","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.0034,0.08
"61","CLASS_SIZE",0.0012,0.03
"62","IN_CH_PRIVATE_x_FC_LIBRARY",9e-04,0.02
"63","CH_MATRI_FUNDAMENTAL_EDU",2e-04,0
"64","FC_NUMBER_COMPUTERS",2e-04,0
"65","IN_CH_STATE_RR_x_CH_STATE",0,0
"66","IN_CH_STATE_RR_x_CH_URBAN",0,0
"67","IN_CH_STATE_RR_x_CH_RURAL",0,0
"68","IN_CH_STATE_SE_x_FC_WATER",0,0
"69","IN_CH_STATE_SE_x_FC_SEWAGE",0,0
"70","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",0,0
