"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",16.3889,159.9
"2","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",2.4042,23.46
"3","IN_CH_STATE_RJ_x_CH_RURAL",1.5157,14.79
"4","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.7494,7.31
"5","IN_CH_STATE_ES_x_CH_STATE",0.6778,6.61
"6","IN_CH_STATE_AP_x_CH_PRIVATE",0.5708,5.57
"7","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.4641,4.53
"8","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.4629,4.52
"9","IN_CH_STATE_RN_x_CH_FEDERAL",0.4507,4.4
"10","IN_CH_STATE_MG_x_CH_RURAL",0.4428,4.32
"11","IN_CH_URBAN_x_FC_COMPUTER",0.3881,3.79
"12","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.3809,3.72
"13","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER",0.3568,3.48
"14","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.3556,3.47
"15","FC_TV_EQUIPMENT",0.3441,3.36
"16","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.2743,2.68
"17","FC_COMPUTER",0.2728,2.66
"18","IN_CH_URBAN_x_FC_SEWAGE",0.229,2.23
"19","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.2172,2.12
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.2052,2
"21","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.1949,1.9
"22","IN_CH_STATE_MG_x_CH_STATE",0.1723,1.68
"23","IN_CH_STATE_SP_x_CH_STATE",0.1586,1.55
"24","IN_CH_STATE_SP_x_CH_PRIVATE",0.1426,1.39
"25","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.1323,1.29
"26","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.1041,1.02
"27","IN_CH_PRIVATE_x_FC_COMPUTER_LAB",0.0982,0.96
"28","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0912,0.89
"29","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.078,0.76
"30","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",0.0548,0.53
"31","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0467,0.46
"32","FC_WATER_PUBLIC",0.0453,0.44
"33","FC_INTERNET",0.0421,0.41
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR",0.0268,0.26
"35","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0184,0.18
"36","CH_CLASSES_FUNDAMENTAL_EDU_I",0.0177,0.17
"37","FC_ROOMS_USED",0.0151,0.15
"38","ST_FUND_EDU_TEACHERS",0.0123,0.12
"39","FC_ROOMS_AVAILABLE",0.0097,0.09
"40","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.0086,0.08
"41","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",0.0083,0.08
"42","CLASS_STUDENT_TEACHER_RATIO",0.008,0.08
"43","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ANTENNA_EQUIPMENT",0.0062,0.06
"44","IN_CH_URBAN_x_FC_ELECTR",0.0019,0.02
"45","CLASS_SIZE",0.0012,0.01
"46","CH_MATRI_FUNDAMENTAL_EDU",8e-04,0.01
"47","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",7e-04,0.01
"48","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",6e-04,0.01
"49","FC_NUMBER_COMPUTERS",4e-04,0
"50","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE",2e-04,0
"51","CH_CLASSES_FUNDAMENTAL_EDU",0,0
"52","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",0,0
"53","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.0118,-0.12
"54","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.0125,-0.12
"55","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",-0.0125,-0.12
"56","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.0162,-0.16
"57","IN_CH_STATE_SC_x_FC_INTERNET",-0.0403,-0.39
"58","IN_CH_STATE_SC_x_FC_HAS_SPORTS_QUAD",-0.0592,-0.58
"59","IN_CH_STATE_SC_x_FC_COMPUTER",-0.0731,-0.71
"60","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.0829,-0.81
"61","IN_CH_STATE_BA_x_FC_NO_SPORTS_QUAD",-0.13,-1.27
"62","IN_CH_STATE_RS_x_FC_HAS_SPORTS_QUAD",-0.1338,-1.31
"63","IN_CH_STATE_SC_x_CH_STATE",-0.149,-1.45
"64","CH_MUNICIPAL",-0.1544,-1.51
"65","IN_CH_STATE_PE_x_CH_RURAL",-0.1673,-1.63
"66","IN_CH_STATE_PE_x_CH_FUNDAMENTAL_EDU_T",-0.1836,-1.79
"67","IN_CH_STATE_SC_x_CH_RURAL",-0.2135,-2.08
"68","IN_CH_STATE_SE_x_CH_STATE",-0.2506,-2.45
"69","IN_CH_STATE_RS_x_CH_RURAL",-0.2507,-2.45
"70","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.2882,-2.81
"71","IN_CH_STATE_PR_x_CH_RURAL",-0.416,-4.06
"72","IN_CH_STATE_SE_x_CH_RURAL",-0.4306,-4.2
"73","IN_CH_STATE_PB_x_CH_PRIVATE",-0.5169,-5.04
